,protid,P,S,C
0,x0000_X,22,79,4
1,x0001_X,26,89,5
2,x0002_X,24,39,3
3,x0003_X,23,39,4
4,x0004_X,54,108,9
5,x0005_X,50,110,11
6,x0006_X,33,83,4
7,x0007_X,55,104,12
8,x0008_X,41,76,3
9,x0009_X,71,90,10
10,x0010_X,82,96,12
11,x0011_X,69,87,15
12,x0012_X,82,134,15
13,x0013_X,85,109,16
14,x0014_X,72,89,10
15,x0015_X,72,107,11
16,x0016_X,70,96,5
17,x0017_X,89,130,12
18,x0018_X,85,106,19
19,x0019_X,74,125,11
20,x0020_X,80,95,15
21,x0021_X,67,80,6
22,x0022_X,42,52,11
23,x0023_X,53,88,12
24,x0024_X,52,64,20
25,x0025_X,63,123,24
26,x0026_X,33,70,17
27,x0027_X,61,126,23
28,x0028_X,62,126,22
29,x0029_X,53,135,22
30,x0030_X,50,122,18
31,x0031_X,63,92,16
32,x0032_X,83,168,25
33,x0033_X,76,180,20
34,x0034_X,91,204,30
35,x0035_X,72,159,22
36,x0036_X,76,177,23
37,x0037_X,49,131,10
38,x0038_X,45,99,9
39,x0039_X,84,171,21
40,x0040_X,57,157,17
41,x0041_X,74,181,21
42,x0042_X,64,175,14
43,x0043_X,50,169,12
44,x0044_X,80,246,25
45,x0045_X,89,309,37
46,x0046_X,51,160,20
47,x0047_X,54,239,32
48,x0048_X,58,241,26
49,x0049_X,84,303,48
50,x0050_X,84,303,48
51,x0051_X,75,284,47
52,x0052_X,53,215,32
53,x0053_X,53,261,37
54,x0054_X,63,251,37
55,x0055_X,59,229,37
56,x0056_X,78,257,43
57,x0057_X,66,274,38
58,x0058_X,78,282,46
59,x0059_X,114,380,67
60,x0060_X,75,288,43
61,x0061_X,87,342,67
62,x0062_X,57,269,52
63,x0063_X,90,296,49
64,x0064_X,77,337,51
65,x0065_X,60,253,38
66,x0066_X,79,305,51
67,x0067_X,86,354,56
68,x0068_X,64,231,30
69,x0069_X,108,388,65
70,x0070_X,98,349,49
71,x0071_X,78,263,37
72,x0072_X,101,345,50
73,x0073_X,92,348,56
74,x0074_X,99,257,50
75,x0075_X,78,383,67
76,x0076_X,106,423,66
77,x0077_X,76,294,65
78,x0078_X,112,410,73
79,x0079_X,101,394,66
80,x0080_X,114,438,78
81,x0081_X,90,371,67
82,x0082_X,79,356,61
83,x0083_X,57,271,50
84,x0084_X,92,401,68
85,x0085_X,107,418,70
86,x0086_X,79,364,53
87,x0087_X,65,296,45
88,x0088_X,54,281,43
89,x0089_X,92,371,65
90,x0090_X,65,296,45
91,x0091_X,113,419,63
92,x0092_X,78,362,56
93,x0093_X,76,387,65
94,x0094_X,95,402,64
95,x0095_X,78,327,60
96,x0096_X,89,351,56
97,x0097_X,85,381,62
98,x0098_X,84,311,40
99,x0099_X,92,373,63
100,x0100_X,91,349,56
101,x0101_X,100,428,67
102,x0102_X,109,381,71
103,x0103_X,115,441,74
104,x0104_X,104,422,69
105,x0105_X,94,434,67
106,x0106_X,85,349,62
107,x0107_X,118,505,80
108,x0108_X,97,420,78
109,x0109_X,99,419,77
110,x0110_X,96,399,66
111,x0111_X,106,423,66
112,x0112_X,117,504,82
113,x0113_X,102,452,76
114,x0114_X,143,508,90
115,x0115_X,129,497,77
116,x0116_X,125,523,93
117,x0117_X,93,377,58
118,x0118_X,130,461,75
119,x0119_X,126,467,73
120,x0120_X,122,500,81
121,x0121_X,119,515,69
122,x0122_X,134,422,74
123,x0123_X,136,489,78
124,x0124_X,137,528,76
125,x0125_X,113,443,74
126,x0126_X,130,461,75
127,x0127_X,138,523,80
128,x0128_X,126,535,80
129,x0129_X,181,574,106
130,x0130_X,158,576,86
131,x0131_X,117,521,65
132,x0132_X,170,515,95
133,x0133_X,138,486,79
134,x0134_X,144,498,61
135,x0135_X,120,473,73
136,x0136_X,117,477,72
137,x0137_X,173,520,87
138,x0138_X,184,583,94
139,x0139_X,138,416,76
140,x0140_X,171,523,86
141,x0141_X,176,591,94
142,x0142_X,169,605,87
143,x0143_X,174,695,77
144,x0144_X,131,534,76
145,x0145_X,131,507,65
146,x0146_X,141,593,86
147,x0147_X,134,436,60
148,x0148_X,144,633,84
149,x0149_X,173,572,75
150,x0150_X,154,540,86
151,x0151_X,86,384,58
152,x0152_X,93,477,60
153,x0153_X,87,384,57
154,x0154_X,98,413,50
155,x0155_X,104,432,59
156,x0156_X,118,514,71
157,x0157_X,103,462,65
158,x0158_X,100,463,67
159,x0159_X,99,497,70
160,x0160_X,119,507,77
161,x0161_X,128,469,69
162,x0162_X,133,569,78
163,x0163_X,145,520,76
164,x0164_X,123,546,72
165,x0165_X,157,624,80
166,x0166_X,93,476,61
167,x0167_X,119,513,71
168,x0168_X,111,430,54
169,x0169_X,144,588,88
170,x0170_X,108,498,60
171,x0171_X,103,543,57
172,x0172_X,155,517,69
173,x0173_X,104,505,57
174,x0174_X,93,426,42
175,x0175_X,134,472,60
176,x0176_X,132,499,72
177,x0177_X,113,519,71
178,x0178_X,91,447,57
179,x0179_X,114,426,55
180,x0180_X,135,524,82
181,x0181_X,131,467,68
182,x0182_X,145,520,76
183,x0183_X,144,564,72
184,x0184_X,143,596,81
185,x0185_X,139,604,77
186,x0186_X,145,454,67
187,x0187_X,104,501,61
188,x0188_X,125,469,72
189,x0189_X,105,399,57
190,x0190_X,107,424,64
191,x0191_X,142,409,79
192,x0192_X,132,502,69
193,x0193_X,116,552,73
194,x0194_X,105,449,76
195,x0195_X,82,432,47
196,x0196_X,93,504,69
197,x0197_X,73,428,60
198,x0198_X,74,400,54
199,x0199_X,79,461,55
200,x0200_X,98,434,63
201,x0201_X,91,507,68
202,x0202_X,98,535,70
203,x0203_X,90,509,67
204,x0204_X,102,495,69
205,x0205_X,98,473,59
206,x0206_X,102,617,61
207,x0207_X,100,569,72
208,x0208_X,104,567,70
209,x0209_X,120,583,77
210,x0210_X,80,458,57
211,x0211_X,114,585,81
212,x0212_X,121,580,79
213,x0213_X,71,407,50
214,x0214_X,99,472,59
215,x0215_X,75,406,47
216,x0216_X,82,431,48
217,x0217_X,111,528,64
218,x0218_X,66,422,40
219,x0219_X,61,311,34
220,x0220_X,68,357,40
221,x0221_X,72,415,41
222,x0222_X,58,369,38
223,x0223_X,89,494,47
224,x0224_X,82,463,50
225,x0225_X,78,342,45
226,x0226_X,70,345,50
227,x0227_X,78,439,44
