,Cstar factor
0,0.10325
1,0.21325
2,0.24970588235294114
3,0.033
4,0.08788461538461535
5,0.13366666666666666
6,0.06272727272727271
7,0.11458333333333331
8,0.07571428571428572
9,0.12699999999999997
10,0.19631578947368422
11,0.08666666666666667
12,0.06022222222222221
13,0.035
14,0.10611111111111111
15,0.19631578947368422
16,0.029076923076923077
17,0.050312499999999996
18,0.8291666666666666
19,0.49450000000000005
20,1.6633333333333333
21,5.0
22,5.0
23,5.0
24,5.0
25,5.0
26,5.0
27,5.0
28,5.0
29,5.0
30,1.24625
31,5.0
32,2.4975
33,2.4975
34,0.030000000000000002
35,0.12
36,0.040786516853932586
37,0.08315789473684211
38,0.08689189189189189
39,0.06488372093023255
40,0.068125
41,0.0947058823529412
42,0.16260869565217392
43,0.0365625
44,0.0500735294117647
45,0.05282051282051281
46,0.01
47,0.015
48,0.017
49,0.05282051282051281
50,0.0500735294117647
51,0.16260869565217392
52,0.09236111111111112
53,0.04698275862068966
54,0.1198
55,0.8258333333333333
56,0.10481481481481482
57,0.065
58,0.07444444444444445
59,0.035
60,0.04
61,0.04
62,0.028740157480314964
63,0.10481481481481482
64,0.151875
65,0.5042857142857143
66,0.16738095238095238
67,0.028404255319148936
68,0.04631147540983606
69,0.032476190476190485
70,0.04
71,0.04807692307692309
72,0.046714285714285715
73,0.03
74,0.035
75,0.03362068965517242
76,0.018522727272727278
77,0.027000000000000003
78,0.03833333333333334
79,0.051666666666666666
80,0.0121875
81,0.01125
82,0.027142857142857142
83,0.03176056338028169
84,0.05037313432835821
85,0.03186868686868687
86,0.13296296296296295
87,4.995
88,0.49499999999999994
89,0.05838028169014085
90,0.01893939393939394
91,4.995
92,0.05428571428571429
93,0.1944
94,0.49499999999999994
95,0.55
96,0.049090909090909095
97,0.09578125
98,0.07776595744680849
99,0.11517857142857144
100,0.034551282051282044
101,0.023532608695652168
102,0.031111111111111107
103,0.11517857142857144
104,0.08218181818181816
105,0.046714285714285715
106,0.024230769230769236
107,0.05166666666666667
108,0.023793103448275864
109,0.03142857142857141
110,0.015977443609022556
111,0.02494791666666667
112,0.050249999999999996
113,0.04631147540983606
114,0.0495945945945946
115,0.16738095238095238
116,1.6616666666666664
117,0.5042857142857143
118,0.9720000000000001
119,0.5327777777777778
120,1.6616666666666664
121,0.042525252525252515
122,0.8258333333333333
123,0.08083333333333331
124,0.10982142857142854
125,0.049305555555555554
126,0.05037313432835821
127,0.13296296296296295
128,0.05892857142857143
129,0.030416666666666665
130,0.013694267515923569
131,0.023793103448275864
132,0.025
133,0.0457471264367816
134,0.03
135,0.1198
136,0.050714285714285726
137,0.06488372093023255
138,0.058493150684931515
139,0.065
140,0.07277777777777777
141,0.075
142,0.05433962264150943
143,0.5275
144,0.057499999999999996
145,0.0475
146,0.05449367088607594
147,0.4425
148,0.6614285714285714
149,0.16717391304347826
150,0.3
151,0.048658536585365855
152,0.2613888888888889
153,2.33
154,0.42454545454545456
155,0.3603846153846154
156,0.08315789473684211
157,0.018809523809523807
158,0.02301526717557252
159,0.125
160,0.27277777777777784
161,4.995
162,0.42454545454545456
163,0.9720000000000001
164,0.5327777777777778
165,4.995
166,0.19
167,0.23023809523809524
168,0.03265217391304348
169,0.049516129032258056
170,0.08673076923076922
171,0.23500000000000001
172,0.019567901234567902
173,0.06471428571428571
174,0.08673076923076922
175,0.08166666666666668
176,0.3
177,0.21750000000000003
178,0.4425
179,0.06083333333333332
180,0.05866666666666667
181,0.04229411764705883
182,0.015000000000000001
183,0.023333333333333334
184,0.047037037037037044
185,0.20425000000000004
186,0.32833333333333325
187,0.020666666666666667
188,0.028333333333333335
189,0.03152173913043479
190,0.049090909090909095
191,0.08478260869565217
192,0.32833333333333325
193,0.27676470588235297
194,0.05284810126582277
195,0.15620689655172415
196,0.23023809523809524
197,0.37
198,0.23500000000000001
199,0.015333333333333338
200,0.025
201,0.37
202,0.021666666666666667
203,0.25972222222222224
204,0.05777027027027028
205,0.04402173913043477
206,0.2613888888888889
207,2.33
208,1.24375
209,0.0831132075471698
210,0.07760869565217389
211,0.10870967741935487
212,1.24375
213,0.04096938775510204
214,0.0831132075471698
215,0.030238095238095238
216,0.07760869565217389
217,0.05702702702702702
218,0.13366666666666666
219,0.10870967741935487
220,0.038647058823529416
221,0.08788461538461535
222,0.08241935483870966
223,0.08166666666666668
224,0.03092307692307692
225,0.026666666666666672
226,0.04402173913043477
227,0.05062500000000001
228,0.1065909090909091
229,0.7085714285714285
230,0.028749999999999998
231,0.0725
232,0.08241935483870966
233,0.7085714285714285
234,0.12699999999999997
235,0.0859375
236,0.0825
237,0.03166666666666667
238,0.08585106382978722
239,0.13185185185185183
240,0.020000000000000004
241,0.012
242,0.019857142857142858
243,0.043750000000000004
244,0.02157303370786517
245,0.045
246,0.07596153846153846
247,0.09433333333333335
248,0.05032258064516129
249,0.08642857142857142
250,0.255
251,0.135
252,0.1011904761904762
253,0.1112962962962963
254,0.036834862385321104
255,0.166
256,0.2386111111111111
257,0.09824999999999999
258,0.06946428571428571
259,0.1751851851851852
260,0.09999999999999999
261,0.08173913043478259
262,0.7092857142857143
263,0.06558139534883721
264,0.03725806451612903
265,0.04082089552238806
266,0.7092857142857143
267,0.11709677419354839
268,0.1337878787878788
269,0.1571875
270,0.09170000000000002
271,0.1293939393939394
272,0.04604938271604938
273,1.07625
274,0.06022222222222221
275,0.045
276,0.04807692307692309
277,0.13185185185185183
278,0.05699999999999999
279,0.135
280,0.12191176470588237
281,0.035671641791044775
282,0.05392857142857143
283,0.04321428571428572
284,0.12191176470588237
285,0.09521739130434782
286,0.23526315789473684
287,0.16333333333333333
288,0.06285714285714286
289,0.4955
290,0.1571875
291,0.12428571428571428
292,0.0675
293,0.4463636363636363
294,0.4955
295,0.036470588235294116
296,0.03900000000000001
297,0.0325
298,0.028518518518518512
299,0.04102040816326531
300,0.021923076923076927
301,0.009166666666666668
302,0.05673333333333333
303,0.07177419354838711
304,0.06601449275362319
305,0.030625000000000003
306,0.04230769230769231
307,0.039
308,0.06714285714285714
309,0.07177419354838711
310,0.09521739130434782
311,0.23526315789473684
312,0.08131578947368422
313,0.06673469387755102
314,0.16333333333333333
315,0.044230769230769226
316,0.04666666666666667
317,0.12250000000000001
318,0.10500000000000001
319,0.061666666666666675
320,0.058499999999999996
321,0.03827380952380952
322,0.1751851851851852
323,0.1293939393939394
324,0.04640243902439025
325,0.09824999999999999
326,0.2386111111111111
327,0.53375
328,1.07625
329,0.07596153846153846
330,0.08586538461538461
331,0.20931818181818185
332,0.07964912280701754
333,0.0271900826446281
334,0.02908163265306123
335,0.04125
336,0.054433962264150954
337,0.07833333333333335
338,0.04438144329896908
339,0.053000000000000005
340,0.06
341,0.10631578947368421
342,0.1576923076923077
343,0.03890625
344,0.07265625
345,0.1868
346,0.030000000000000002
347,0.035
348,0.02943609022556391
349,0.08267857142857145
350,0.045
351,0.047397260273972605
352,0.02
353,0.02
354,0.025797101449275352
355,0.029761904761904767
356,0.08267857142857145
357,0.06037500000000001
358,0.07181818181818182
359,0.05593023255813954
360,0.07085365853658537
361,0.09170000000000002
362,0.059399999999999994
363,0.1868
364,0.06
365,0.038548387096774175
366,0.0664179104477612
367,0.4116666666666667
368,0.047499999999999994
369,0.10631578947368421
370,0.166
371,0.4116666666666667
372,0.15960000000000002
373,0.09196428571428573
374,0.115
375,0.12222222222222223
376,0.10534090909090908
377,5.0
378,0.4955
379,0.05500000000000001
380,0.10534090909090908
381,0.37961538461538463
382,5.0
383,0.03879807692307692
384,0.08778846153846152
385,0.04166666666666666
386,0.017926829268292685
387,0.0964102564102564
388,0.022388059701492536
389,0.04
390,0.04467032967032966
391,0.11800000000000002
392,0.02037878787878788
393,0.02911764705882353
394,0.10500000000000001
395,0.11800000000000002
396,0.05371794871794871
397,0.115
398,0.06923076923076923
399,0.0901111111111111
400,0.09170000000000002
401,0.1276
402,0.12222222222222223
403,0.32666666666666666
404,0.058525641025641006
405,0.10571428571428572
406,0.07461538461538461
407,0.042916666666666665
408,0.06754901960784314
409,0.06592592592592593
410,0.05019607843137256
411,0.07265625
412,0.1576923076923077
413,0.047397260273972605
414,0.094375
415,0.03337209302325581
416,0.037065217391304354
417,0.02625
418,0.04744897959183673
419,0.0486
420,0.07666666666666667
421,0.053000000000000005
422,0.1698076923076923
423,0.01582608695652174
424,0.02
425,0.08000000000000002
426,0.08586538461538461
427,0.1698076923076923
428,0.1325714285714286
429,0.20931818181818185
430,0.09115384615384615
431,0.1011904761904762
432,0.1112962962962963
433,0.09661290322580646
434,0.0992857142857143
435,0.04253246753246753
436,0.08948979591836734
437,0.23071428571428565
438,1.245
439,0.07666666666666667
440,0.06449999999999999
441,0.023750000000000004
442,0.01875
443,0.15
444,1.245
445,0.04690476190476191
446,0.06592592592592593
447,0.055
448,0.04253246753246753
449,0.048799999999999996
450,0.07125000000000001
451,0.032229729729729734
452,0.044710144927536236
453,0.019090909090909092
454,0.04082089552238806
455,0.13166666666666668
456,0.035729166666666666
457,0.053239436619718306
458,0.09411764705882353
459,0.051470588235294115
460,0.23075
461,0.0676190476190476
462,0.1323529411764706
463,0.06363636363636363
464,0.22727272727272727
465,0.025125
466,0.044452054794520544
467,0.024411764705882355
468,0.04
469,0.030000000000000002
470,0.07788135593220338
471,0.10893939393939395
472,0.13305555555555557
473,0.025
474,0.025797101449275352
475,0.04318181818181818
476,0.13305555555555557
477,0.07788135593220338
478,0.06
479,0.055
480,0.02375
481,0.025125
482,0.05414634146341463
483,0.08267441860465118
484,0.045409836065573764
485,0.07461538461538461
486,0.05895833333333333
487,0.06037500000000001
488,0.015000000000000001
489,0.05649122807017544
490,0.01666666666666667
491,0.10642857142857143
492,0.05346153846153846
493,0.10696969696969698
494,0.10571428571428572
495,0.32666666666666666
496,0.1276
497,0.16999999999999996
498,0.09475
499,0.06015873015873016
500,0.08099999999999996
501,1.225
502,1.1975
503,0.05333333333333334
504,0.105
505,1.225
506,1.1975
507,0.1925
508,0.105
509,0.052142857142857144
510,0.09411764705882353
511,0.23075
512,0.06018867924528303
513,0.1323529411764706
514,0.09309523809523809
515,0.12423076923076923
516,0.22727272727272727
517,0.05519230769230769
518,0.06754901960784314
519,0.141875
520,0.07397058823529411
521,0.051666666666666666
522,0.06015873015873016
523,0.038000000000000006
524,0.04318181818181818
525,0.03260869565217391
526,0.02
527,0.052500000000000005
528,0.07397058823529411
529,0.034583333333333334
530,0.047456140350877196
531,0.141875
532,0.041785714285714294
533,0.05519230769230769
534,0.03636363636363636
535,0.0375
536,0.04
537,0.028333333333333335
