,protid,P,S,C
221,x0221_X,666,2321,499
222,x0222_X,630,2229,462
223,x0223_X,589,2136,435
224,x0224_X,656,2193,472
225,x0225_X,607,2104,449
226,x0226_X,659,2270,474
227,x0227_X,564,2012,427
228,x0228_X,625,2015,441
229,x0229_X,571,1953,402
230,x0230_X,570,2033,400
231,x0231_X,580,2052,371
232,x0232_X,645,2185,410
233,x0233_X,571,2039,393
234,x0234_X,531,1958,361
235,x0235_X,650,2090,420
236,x0236_X,534,1803,364
237,x0237_X,593,2049,361
238,x0238_X,648,2183,409
239,x0239_X,548,1883,344
240,x0240_X,632,2126,402
241,x0241_X,605,2053,345
242,x0242_X,593,1989,344
243,x0243_X,579,2068,356
244,x0244_X,558,2082,363
245,x0245_X,512,1935,328
246,x0246_X,513,1853,335
247,x0247_X,657,2157,426
248,x0248_X,554,2052,397
249,x0249_X,546,2105,352
250,x0250_X,598,2232,410
251,x0251_X,510,1791,327
252,x0252_X,512,1895,368
253,x0253_X,540,1770,318
254,x0254_X,564,1980,382
255,x0255_X,461,1576,309
256,x0256_X,560,2019,347
257,x0257_X,546,2022,358
258,x0258_X,462,1775,319
259,x0259_X,543,1874,358
260,x0260_X,566,1848,361
261,x0261_X,484,1881,336
262,x0262_X,516,1919,340
263,x0263_X,504,1835,362
264,x0264_X,507,1916,352
265,x0265_X,570,1984,372
266,x0266_X,544,1864,367
267,x0267_X,568,2002,356
268,x0268_X,548,2195,338
269,x0269_X,542,2000,308
270,x0270_X,477,1848,303
271,x0271_X,529,1993,328
272,x0272_X,626,2243,371
273,x0273_X,560,2020,346
274,x0274_X,585,2142,354
275,x0275_X,619,2090,372
276,x0276_X,654,2277,390
277,x0277_X,538,2032,356
278,x0278_X,595,2060,348
279,x0279_X,502,1850,276
280,x0280_X,540,1846,315
281,x0281_X,474,1761,250
282,x0282_X,597,2006,323
283,x0283_X,686,2314,403
284,x0284_X,652,2145,363
285,x0285_X,688,2246,387
286,x0286_X,525,1766,265
287,x0287_X,643,2158,359
288,x0288_X,652,2211,377
289,x0289_X,590,1980,356
290,x0290_X,543,1846,312
291,x0291_X,436,1615,227
292,x0292_X,565,2030,331
293,x0293_X,623,2073,385
294,x0294_X,589,1962,375
295,x0295_X,580,1995,351
296,x0296_X,569,1950,331
297,x0297_X,640,2055,386
298,x0298_X,702,2424,444
299,x0299_X,619,2074,388
300,x0300_X,575,1939,336
301,x0301_X,569,1834,298
302,x0302_X,549,1892,334
303,x0303_X,474,1745,266
304,x0304_X,542,1748,266
305,x0305_X,608,1987,331
306,x0306_X,433,1488,224
307,x0307_X,454,1733,298
308,x0308_X,539,1855,307
309,x0309_X,495,1840,293
310,x0310_X,585,2063,355
311,x0311_X,504,1766,286
312,x0312_X,583,1927,340
313,x0313_X,474,1838,316
314,x0314_X,530,1946,374
315,x0315_X,612,2094,375
316,x0316_X,497,1862,342
317,x0317_X,474,1841,313
318,x0318_X,596,2218,426
319,x0319_X,614,1996,393
320,x0320_X,591,2056,356
321,x0321_X,566,1921,363
322,x0322_X,602,1955,369
323,x0323_X,634,2151,375
324,x0324_X,587,2081,335
325,x0325_X,659,2224,357
326,x0326_X,642,2127,391
327,x0327_X,650,2405,431
328,x0328_X,639,2286,396
329,x0329_X,618,2367,418
330,x0330_X,603,2117,361
331,x0331_X,662,2229,430
332,x0332_X,594,2235,411
333,x0333_X,657,2369,460
334,x0334_X,647,2395,444
335,x0335_X,711,2533,497
336,x0336_X,641,2266,414
337,x0337_X,647,2325,431
338,x0338_X,590,2159,411
339,x0339_X,629,2191,420
340,x0340_X,668,2291,444
341,x0341_X,596,2220,424
