,protid,P,S,C
0,x0000_ ,3,29,4
1,x0001_ ,2,8,5
2,x0002_ ,2,30,4
3,x0003_ ,1,16,4
4,x0004_ ,5,28,3
5,x0005_ ,0,0,1
6,x0006_ ,0,8,2
7,x0007_ ,2,27,7
8,x0008_ ,6,14,1
9,x0009_ ,17,57,4
10,x0010_ ,67,135,8
11,x0011_ ,66,114,10
12,x0012_ ,21,66,4
13,x0013_ ,12,81,12
14,x0014_ ,50,76,10
15,x0015_ ,32,54,5
16,x0016_ ,119,125,32
17,x0017_ ,169,301,26
18,x0018_ ,290,241,30
19,x0019_ ,257,258,80
20,x0020_ ,402,562,71
21,x0021_ ,172,255,38
22,x0022_ ,61,141,29
23,x0023_ ,124,288,23
24,x0024_ ,289,331,46
25,x0025_ ,304,539,147
26,x0026_ ,194,421,51
27,x0027_ ,331,651,53
28,x0028_ ,845,615,80
29,x0029_ ,620,911,122
30,x0030_ ,234,359,73
31,x0031_ ,404,390,67
32,x0032_ ,532,448,148
33,x0033_ ,293,620,33
34,x0034_ ,345,562,39
35,x0035_ ,185,456,25
36,x0036_ ,144,289,32
37,x0037_ ,268,379,19
38,x0038_ ,265,384,17
39,x0039_ ,297,467,16
40,x0040_ ,193,462,11
41,x0041_ ,379,578,33
42,x0042_ ,300,413,28
43,x0043_ ,207,290,31
44,x0044_ ,369,669,43
45,x0045_ ,311,438,31
46,x0046_ ,358,509,36
47,x0047_ ,229,452,22
48,x0048_ ,254,422,27
49,x0049_ ,184,355,22
50,x0050_ ,321,589,36
51,x0051_ ,240,363,27
52,x0052_ ,285,342,39
53,x0053_ ,198,435,33
54,x0054_ ,276,483,21
55,x0055_ ,312,394,35
56,x0056_ ,245,415,43
57,x0057_ ,282,387,34
58,x0058_ ,523,432,35
59,x0059_ ,452,459,35
60,x0060_ ,516,476,43
61,x0061_ ,568,559,49
62,x0062_ ,320,477,23
63,x0063_ ,359,423,38
64,x0064_ ,642,577,56
65,x0065_ ,332,376,33
66,x0066_ ,255,385,26
67,x0067_ ,675,367,86
68,x0068_ ,436,347,37
69,x0069_ ,511,483,41
70,x0070_ ,375,282,46
