,protid,P,S,C
0,x0000_X,1938,8570,817
1,x0001_X,2358,9073,972
2,x0002_X,2017,7782,786
3,x0003_X,1812,5938,635
4,x0004_X,2085,7594,906
5,x0005_X,2214,7514,857
6,x0006_X,1751,5243,632
7,x0007_X,2187,6410,856
8,x0008_X,2141,6791,1079
9,x0009_X,2180,6947,884
10,x0010_X,2254,7617,1155
11,x0011_X,2691,9601,1403
12,x0012_X,2089,8427,1112
13,x0013_X,2382,8062,1184
14,x0014_X,2389,7438,1199
15,x0015_X,2296,7552,1178
16,x0016_X,2876,9434,1551
17,x0017_X,2293,7920,1263
18,x0018_X,2497,8450,1456
19,x0019_X,2926,9086,1518
20,x0020_X,2691,7314,1170
21,x0021_X,1759,5368,874
22,x0022_X,2462,7229,1187
23,x0023_X,1804,6935,852
24,x0024_X,2525,7473,1177
25,x0025_X,2604,7802,1375
26,x0026_X,2503,8533,1367
27,x0027_X,2627,8250,1684
28,x0028_X,2451,8512,1598
29,x0029_X,2177,7737,1562
30,x0030_X,2200,7651,1324
31,x0031_X,2254,7797,1425
32,x0032_X,2310,9283,1287
33,x0033_X,2539,10226,1431
34,x0034_X,2506,9379,1481
35,x0035_X,2499,9126,1416
36,x0036_X,2162,7819,1045
37,x0037_X,2498,9697,1500
38,x0038_X,2150,8180,1451
39,x0039_X,2635,10139,1761
40,x0040_X,2737,9194,1435
41,x0041_X,2034,7389,1603
42,x0042_X,2565,10012,1619
43,x0043_X,2614,9247,1342
44,x0044_X,2669,9362,1664
45,x0045_X,3108,9421,1499
46,x0046_X,3262,11284,1744
47,x0047_X,3560,9484,1662
48,x0048_X,3690,10752,1668
49,x0049_X,3722,11404,1527
50,x0050_X,3499,10674,1580
51,x0051_X,3022,10596,1782
52,x0052_X,3547,11607,1682
53,x0053_X,3423,10882,1805
54,x0054_X,3879,11112,2029
55,x0055_X,3553,11756,1896
56,x0056_X,3916,12237,1992
57,x0057_X,4054,10904,2247
58,x0058_X,3266,10856,1988
59,x0059_X,3076,11048,1807
60,x0060_X,3430,11105,2118
61,x0061_X,3339,11444,2053
62,x0062_X,3228,12323,1840
63,x0063_X,2636,9769,1623
64,x0064_X,3170,10925,2015
65,x0065_X,3957,13007,2342
66,x0066_X,3401,10952,2118
67,x0067_X,2860,9806,2040
68,x0068_X,2594,9543,1724
69,x0069_X,3138,11681,2201
70,x0070_X,2412,8627,1207
71,x0071_X,2598,8737,1545
72,x0072_X,3183,11335,1953
73,x0073_X,3803,12379,2154
74,x0074_X,3145,10801,1807
75,x0075_X,2754,10205,1576
76,x0076_X,3246,11135,1729
77,x0077_X,3047,11110,1774
78,x0078_X,3212,11619,2005
79,x0079_X,3004,9994,1880
80,x0080_X,2915,10221,1915
81,x0081_X,2664,9361,1836
82,x0082_X,2963,10322,1766
83,x0083_X,2615,9326,1754
84,x0084_X,2658,10557,1836
85,x0085_X,3373,10793,2124
86,x0086_X,4239,11710,1817
87,x0087_X,3526,11244,2066
