,protid,P,S,C
177,x0177_ ,3426,4396,1089
178,x0178_ ,4485,4575,1380
179,x0179_ ,2981,3895,1125
180,x0180_ ,3691,4845,1055
181,x0181_ ,2788,4289,1051
182,x0182_ ,3339,5455,1359
183,x0183_ ,3252,4425,1101
184,x0184_ ,3018,4570,1058
185,x0185_ ,3508,4053,1085
186,x0186_ ,3121,3821,1186
187,x0187_ ,4037,4784,1332
188,x0188_ ,2788,4015,947
189,x0189_ ,3651,4192,1337
190,x0190_ ,3126,3880,1122
191,x0191_ ,2494,3720,926
192,x0192_ ,2745,4899,1002
193,x0193_ ,3657,4958,1255
194,x0194_ ,2733,3627,900
195,x0195_ ,3676,4836,1218
196,x0196_ ,2889,3896,965
197,x0197_ ,2682,3706,872
198,x0198_ ,3696,4334,1150
199,x0199_ ,2398,3378,665
200,x0200_ ,3138,4095,895
201,x0201_ ,2720,3482,938
202,x0202_ ,2674,3006,875
203,x0203_ ,3362,4228,1188
204,x0204_ ,4204,3687,1289
205,x0205_ ,4567,4989,1619
206,x0206_ ,3499,5107,1264
207,x0207_ ,2823,3387,930
208,x0208_ ,2706,4102,942
209,x0209_ ,2911,4314,1160
210,x0210_ ,3292,4452,1167
211,x0211_ ,2243,4681,1077
212,x0212_ ,2709,4564,983
213,x0213_ ,2989,4301,1225
214,x0214_ ,3403,4188,1055
215,x0215_ ,2973,3911,1117
216,x0216_ ,2581,4551,996
217,x0217_ ,3259,4980,1352
218,x0218_ ,3535,3868,1112
219,x0219_ ,3609,4009,1293
220,x0220_ ,3230,3468,1177
221,x0221_ ,2549,3684,1027
222,x0222_ ,3579,4200,1132
223,x0223_ ,3067,4319,999
224,x0224_ ,2662,3360,999
225,x0225_ ,3684,4995,1332
226,x0226_ ,3857,4568,1445
227,x0227_ ,2650,4348,877
228,x0228_ ,3182,4099,975
229,x0229_ ,2773,3422,945
230,x0230_ ,3522,5239,1109
231,x0231_ ,3589,4544,1320
232,x0232_ ,3662,4421,1233
233,x0233_ ,3905,6469,1561
234,x0234_ ,3634,4683,1274
235,x0235_ ,3873,4051,1392
236,x0236_ ,3175,4876,1129
237,x0237_ ,3231,4160,994
238,x0238_ ,2710,2939,792
239,x0239_ ,3819,4826,1225
240,x0240_ ,2870,4310,948
241,x0241_ ,3829,5236,1375
242,x0242_ ,3672,5782,1277
243,x0243_ ,3543,4442,1331
244,x0244_ ,3893,4772,1205
245,x0245_ ,3624,3992,1162
246,x0246_ ,3663,4425,1228
247,x0247_ ,3494,4504,1182
248,x0248_ ,3134,3831,1036
249,x0249_ ,2990,3282,1231
250,x0250_ ,3056,4161,1039
251,x0251_ ,2731,3759,891
252,x0252_ ,4286,5223,1369
253,x0253_ ,3901,5450,1380
254,x0254_ ,3599,4739,1392
255,x0255_ ,2972,4464,1079
256,x0256_ ,2825,4333,1098
257,x0257_ ,3070,3708,1097
258,x0258_ ,4031,5828,1466
259,x0259_ ,3306,3371,1073
260,x0260_ ,3562,5471,1120
261,x0261_ ,3849,5530,1352
262,x0262_ ,3598,5689,1298
263,x0263_ ,3738,3621,1026
264,x0264_ ,3345,4548,1152
265,x0265_ ,3745,5553,1142
266,x0266_ ,3168,4237,1241
267,x0267_ ,3702,4204,1139
268,x0268_ ,3686,5671,1228
269,x0269_ ,4742,5828,1833
270,x0270_ ,3209,5129,1115
271,x0271_ ,3255,4651,1274
272,x0272_ ,3250,5283,1197
273,x0273_ ,3112,5267,1212
274,x0274_ ,2933,4529,1053
275,x0275_ ,2944,5233,1139
276,x0276_ ,3669,4740,1182
277,x0277_ ,3661,4918,1432
278,x0278_ ,3399,4671,975
279,x0279_ ,2995,4615,1036
280,x0280_ ,3560,4499,1257
281,x0281_ ,3847,5278,1460
282,x0282_ ,3332,4227,1087
283,x0283_ ,3583,5297,1273
284,x0284_ ,4007,5601,1270
285,x0285_ ,3552,5361,1240
286,x0286_ ,2436,4068,756
287,x0287_ ,3626,4168,1117
288,x0288_ ,3149,4615,1014
289,x0289_ ,2849,4098,1054
290,x0290_ ,3679,4113,1253
291,x0291_ ,3108,4352,1055
292,x0292_ ,2853,3612,916
293,x0293_ ,3789,5309,1487
294,x0294_ ,2982,4445,1088
295,x0295_ ,4611,5176,1388
296,x0296_ ,3684,3893,1201
297,x0297_ ,4922,5879,1602
298,x0298_ ,4789,5505,1487
299,x0299_ ,4600,5081,1345
300,x0300_ ,4730,5003,1592
301,x0301_ ,3743,4239,1198
302,x0302_ ,3856,4625,1249
303,x0303_ ,4720,6072,1769
304,x0304_ ,4242,4978,1365
305,x0305_ ,5356,6423,1751
306,x0306_ ,4318,5395,1612
307,x0307_ ,4375,5146,1357
308,x0308_ ,4259,5001,1471
309,x0309_ ,3876,4666,1188
310,x0310_ ,4506,5452,1367
311,x0311_ ,4563,6879,1599
312,x0312_ ,3967,5212,1406
313,x0313_ ,4027,5375,1329
314,x0314_ ,4349,5968,1464
315,x0315_ ,4282,5533,1360
316,x0316_ ,3299,4371,976
317,x0317_ ,3752,5857,1122
318,x0318_ ,4604,5690,1334
319,x0319_ ,3819,3789,1038
320,x0320_ ,3769,4536,1148
321,x0321_ ,3144,3630,976
322,x0322_ ,2186,2866,726
323,x0323_ ,2828,3509,803
324,x0324_ ,2505,3506,775
325,x0325_ ,3218,3422,1110
326,x0326_ ,2980,3195,846
327,x0327_ ,3282,3602,866
328,x0328_ ,2928,4509,948
329,x0329_ ,2770,4074,782
330,x0330_ ,3036,3834,1005
331,x0331_ ,2162,3904,720
332,x0332_ ,3198,3310,995
333,x0333_ ,3024,3838,888
334,x0334_ ,2499,2848,758
335,x0335_ ,2887,3510,863
336,x0336_ ,2822,4623,940
337,x0337_ ,3531,4243,1004
338,x0338_ ,3660,4367,1289
339,x0339_ ,4113,5582,1331
340,x0340_ ,3827,4901,1425
341,x0341_ ,3176,4708,1296
342,x0342_ ,4597,4981,2357
343,x0343_ ,4625,5822,1799
344,x0344_ ,3656,5293,1491
345,x0345_ ,3188,4292,1431
346,x0346_ ,4204,5566,1858
347,x0347_ ,3488,5479,1473
348,x0348_ ,4418,5674,1843
349,x0349_ ,3411,4607,1298
350,x0350_ ,4121,5844,1816
351,x0351_ ,3622,5605,1504
352,x0352_ ,4339,5332,1805
353,x0353_ ,3552,5220,1239
354,x0354_ ,2369,3399,1018
355,x0355_ ,3682,4388,1383
356,x0356_ ,3686,5594,1305
357,x0357_ ,3791,4365,1574
358,x0358_ ,4497,5567,1717
359,x0359_ ,4143,5624,1558
360,x0360_ ,3004,3886,1366
361,x0361_ ,3318,5317,1518
362,x0362_ ,3610,4523,1597
363,x0363_ ,4729,5155,1897
364,x0364_ ,3760,4377,1454
365,x0365_ ,3808,4177,1468
366,x0366_ ,3685,3795,1700
367,x0367_ ,3456,4489,1508
368,x0368_ ,3274,3761,1350
369,x0369_ ,3984,5115,1632
370,x0370_ ,3729,4440,1561
371,x0371_ ,5085,4705,2145
372,x0372_ ,3824,5018,1454
373,x0373_ ,2970,3973,1185
374,x0374_ ,3939,4359,1572
375,x0375_ ,3424,4251,1505
376,x0376_ ,3113,3294,1343
377,x0377_ ,3421,4010,1480
378,x0378_ ,3919,4912,1609
379,x0379_ ,3542,4652,1536
380,x0380_ ,3212,3874,1170
381,x0381_ ,3644,4483,1743
382,x0382_ ,3948,4481,1867
383,x0383_ ,3270,3689,1426
384,x0384_ ,4120,4189,1702
385,x0385_ ,3241,3127,1382
386,x0386_ ,3395,4281,1369
387,x0387_ ,4064,4383,1564
388,x0388_ ,3790,4165,1636
389,x0389_ ,2682,2960,1261
390,x0390_ ,3087,3591,1197
391,x0391_ ,3049,4749,1518
392,x0392_ ,3720,4779,1797
393,x0393_ ,3737,4877,1682
394,x0394_ ,3169,4565,1311
395,x0395_ ,3102,3866,1288
396,x0396_ ,3486,4066,1628
397,x0397_ ,3501,4117,1698
398,x0398_ ,2502,3898,1226
399,x0399_ ,3417,4415,1621
400,x0400_ ,3246,4372,1562
401,x0401_ ,3880,5411,2034
402,x0402_ ,3589,4090,1637
403,x0403_ ,3262,4348,1435
404,x0404_ ,3535,4619,1716
405,x0405_ ,5071,5577,2232
406,x0406_ ,4224,5252,1849
407,x0407_ ,3188,3454,1486
408,x0408_ ,3414,3793,1439
409,x0409_ ,3964,3328,1619
410,x0410_ ,3401,4067,1443
411,x0411_ ,3170,3669,1676
412,x0412_ ,4000,4475,1821
413,x0413_ ,4447,4007,1557
414,x0414_ ,5519,6316,2361
415,x0415_ ,4837,5269,2297
416,x0416_ ,4668,4657,2000
417,x0417_ ,4239,4015,2042
418,x0418_ ,4961,5448,2152
419,x0419_ ,4113,3989,2194
420,x0420_ ,4386,3962,2092
421,x0421_ ,4495,4734,1946
422,x0422_ ,3743,4396,1872
423,x0423_ ,5212,5920,2398
424,x0424_ ,4666,5416,2164
425,x0425_ ,5188,4523,2379
426,x0426_ ,4148,4185,1820
427,x0427_ ,4987,5022,2237
428,x0428_ ,4289,4106,1901
429,x0429_ ,4743,4878,2007
430,x0430_ ,4754,4961,2066
431,x0431_ ,4808,5041,2397
432,x0432_ ,5854,5486,2856
433,x0433_ ,4982,4657,2296
434,x0434_ ,4239,4489,1857
435,x0435_ ,5118,4079,2279
436,x0436_ ,4212,3981,1818
437,x0437_ ,4978,5064,2361
438,x0438_ ,3579,2752,1419
439,x0439_ ,3951,3034,1661
440,x0440_ ,3471,3297,1617
