,Time,Lifetime distribution,Fit distributions,Terminus,Run
0,0.1783881648237069,1.5808163525124805,1.6783596781346213,CR,run3
1,0.20765372249888037,1.3161895689171519,1.246831251456739,CR,run3
2,0.23691928017405384,1.0699196167346567,0.9633348785982543,CR,run3
3,0.2661848378492273,0.8538393937800556,0.7670292744848861,CR,run3
4,0.2954503955244009,0.6733301632335141,0.6254320405889674,CR,run3
5,0.32471595319957436,0.5285172233858042,0.5199079396066566,CR,run3
6,0.35398151087474783,0.41598979155956534,0.43913987986359515,CR,run3
7,0.3832470685499214,0.330521084000555,0.3759301060119715,CR,run3
8,0.4125126262250949,0.2664445454036829,0.32552216341334383,CR,run3
9,0.44177818390026835,0.2185489108477226,0.28466984086517855,CR,run3
10,0.4710437415754418,0.18251797590439067,0.25109574687568575,CR,run3
11,0.5003092992506154,0.15503119201439775,0.22316365058852344,CR,run3
12,0.5295748569257889,0.13366377290514472,0.19967326145762104,CR,run3
13,0.5588404146009623,0.11670338443811894,0.17972779584781637,CR,run3
14,0.5881059722761359,0.10296062615733803,0.16264624123718413,CR,run3
15,0.6173715299513094,0.09161149929906935,0.14790386469122851,CR,run3
16,0.6466370876264829,0.08208169938663351,0.13509102754046756,CR,run3
17,0.6759026453016563,0.07396709326871223,0.12388413727474712,CR,run3
18,0.7051682029768298,0.06697981836077434,0.1140248124498453,CR,run3
19,0.7344337606520033,0.06091091284934103,0.10530470870352877,CR,run3
20,0.763699318327177,0.05560412493573728,0.09755431290604809,CR,run3
21,0.7929648760023504,0.05093860070561998,0.09063456169064867,CR,run3
22,0.8222304336775239,0.04681922393356559,0.0844304987052885,CR,run3
23,0.8514959913526974,0.043172748661640614,0.07884642260961446,CR,run3
24,0.8807615490278708,0.03994673729545857,0.07380213820860194,CR,run3
25,0.9100271067030443,0.03710796661718933,0.06923003296423672,CR,run3
26,0.9392926643782178,0.03463799224085843,0.06507277743269392,CR,run3
27,0.9685582220533915,0.032525629695572884,0.061281501872247,CR,run3
28,0.997823779728565,0.030758216399086928,0.057814339514392896,CR,run3
29,1.0270893374037384,0.0293146106254084,0.05463525454180789,CR,run3
30,1.056354895078912,0.028162438124202126,0.05171309287331446,CR,run3
31,1.0856204527540854,0.0272603701587167,0.04902080860171544,CR,run3
32,1.1148860104292588,0.02656407192682843,0.04653482987251338,CR,run3
33,1.1441515681044323,0.026032916061301804,0.044234536182481146,CR,run3
34,1.173417125779606,0.02563430692015318,0.0421018252592219,CR,run3
35,1.2026826834547795,0.02534359728760497,0.040120752385312534,CR,run3
36,1.231948241129953,0.025139592007364927,0.038277228633944844,CR,run3
37,1.2612137988051264,0.02499766655170266,0.03655876726337889,CR,run3
38,1.2904793564802999,0.02488373796064857,0.0349542696771679,CR,run3
39,1.3197449141554733,0.024752206998205288,0.033453844045167186,CR,run3
40,1.3490104718306468,0.02454956825304486,0.032048651007682956,CR,run3
41,1.3782760295058205,0.024223201079121525,0.030730771934788643,CR,run3
42,1.407541587180994,0.023732760781009457,0.02949309604743705,CR,run3
43,1.4368071448561675,0.023060414884159993,0.028329223374041465,CR,run3
44,1.466072702531341,0.022216384172607916,0.027233381051972098,CR,run3
45,1.4953382602065144,0.02123777015607757,0.026200350915791384,CR,run3
46,1.5246038178816879,0.020180881675060443,0.025225406664574027,CR,run3
47,1.5538693755568613,0.019109357124922288,0.024304259186058063,CR,run3
48,1.583134933232035,0.018081561614309658,0.02343300884872188,CR,run3
49,1.6124004909072083,0.017140666998316966,0.02260810376443742,CR,run3
50,1.641666048582382,0.016309649038644975,0.021826303182202925,CR,run3
51,1.6709316062575552,0.015591700443468139,0.021084645304021796,CR,run3
52,1.700197163932729,0.01497493038283243,0.02038041892236933,CR,run3
53,1.7294627216079026,0.014439226707003682,0.019711138368957506,CR,run3
54,1.7587282792830758,0.013963011103300404,0.019074521339941766,CR,run3
55,1.7879938369582495,0.013528202154179903,0.018468469225953955,CR,run3
56,1.8172593946334228,0.013122670908303925,0.017891049628525026,CR,run3
57,1.8465249523085965,0.012740418170529597,0.01734048078931385,CR,run3
58,1.8757905099837697,0.012380303813292812,0.016815117696497787,CR,run3
59,1.9050560676589434,0.012044287374008748,0.016313439664859576,CR,run3
60,1.9343216253341171,0.011735873890899256,0.01583403921347359,CR,run3
61,1.9635871830092904,0.011459020117313552,0.015375612088230302,CR,run3
62,1.992852740684464,0.011217391612410307,0.014936948296386799,CR,run3
63,2.0221182983596373,0.011013727443715909,0.014516924037425605,CR,run3
64,2.051383856034811,0.010849168209520536,0.014114494429187024,CR,run3
65,2.0806494137099842,0.010722603965322972,0.013728686940881661,CR,run3
66,2.109914971385158,0.010630232051548854,0.013358595455496435,CR,run3
67,2.1391805290603316,0.010565482399170704,0.013003374893539204,CR,run3
68,2.168446086735505,0.01051930069675876,0.012662236338239036,CR,run3
69,2.1977116444106786,0.010480610993303113,0.012334442609415306,CR,run3
70,2.226977202085852,0.010436750256881459,0.012019304239402114,CR,run3
71,2.2562427597610255,0.010373827583973283,0.01171617580979551,CR,run3
72,2.2855083174361988,0.010277224410197166,0.011424452612490647,CR,run3
73,2.3147738751113724,0.010132639348931091,0.011143567602587135,CR,run3
74,2.344039432786546,0.009928021406581984,0.010872988614344721,CR,run3
75,2.3733049904617194,0.009656374352242498,0.010612215814534727,CR,run3
76,2.402570548136893,0.009318867843578191,0.010360779370315317,CR,run3
77,2.4318361058120663,0.00892720581551158,0.010118237311209411,CR,run3
78,2.46110166348724,0.008504050918989007,0.009884173566926334,CR,run3
