,Time,Lifetime distribution,Fit distributions,Terminus,Run
0,0.22254575918982367,1.075343187449872,1.0947380849739594,all protein,run3
1,0.2512558754264297,0.8283475357552261,0.8069006401771506,all protein,run3
2,0.2799659916630357,0.6333253828383054,0.6147245076228803,all protein,run3
3,0.3086761078996417,0.4856925048852382,0.480932859731958,all protein,run3
4,0.33738622413624764,0.3771388132916924,0.3845700369551548,all protein,run3
5,0.36609634037285366,0.2985369075380801,0.31318572188000954,all protein,run3
6,0.3948064566094597,0.24172851143263663,0.2590385774189115,all protein,run3
7,0.4235165728460656,0.20027364552752439,0.21712826350555128,all protein,run3
8,0.4522266890826716,0.16948907830759122,0.1841185816102998,all protein,run3
9,0.4809368053192776,0.14613156177103612,0.15772068824334828,all protein,run3
10,0.5096469215558836,0.12799211242781947,0.13632571848106625,all protein,run3
11,0.5383570377924896,0.11354887193331978,0.11877841405784986,all protein,run3
12,0.5670671540290956,0.10172925353138632,0.10423343103043232,all protein,run3
13,0.5957772702657016,0.09177281815807624,0.09206170525579938,all protein,run3
14,0.6244873865023075,0.08316026340384924,0.08178799645968086,all protein,run3
15,0.6531975027389136,0.07557076028061584,0.07304834903447507,all protein,run3
16,0.6819076189755195,0.06884015500791196,0.06556056742952257,all protein,run3
17,0.7106177352121255,0.06290860580504248,0.059103371840639095,all protein,run3
18,0.7393278514487316,0.05776149578960744,0.053501451915431,all protein,run3
19,0.7680379676853375,0.053376704025854774,0.04861459642270743,all protein,run3
20,0.7967480839219434,0.04969190040556877,0.04432968370894734,all protein,run3
21,0.8254582001585495,0.04659854377636766,0.04055470884716256,all protein,run3
22,0.8541683163951554,0.04395904187988857,0.03721427994322043,all protein,run3
23,0.8828784326317614,0.041635472402032185,0.03424618716377595,all protein,run3
24,0.9115885488683675,0.03951606435364006,0.031598763902180714,all protein,run3
25,0.9402986651049734,0.03752958759429526,0.02922883905545217,all protein,run3
26,0.9690087813415795,0.03564507212519654,0.02710013473759425,all protein,run3
27,0.9977188975781854,0.033860899431763306,0.025182002739115344,all protein,run3
28,1.0264290138147913,0.03219042481022984,0.02344842081426242,all protein,run3
29,1.0551391300513975,0.030650410545856648,0.021877189873762543,all protein,run3
30,1.0838492462880034,0.029255208904942077,0.020449287703674823,all protein,run3
31,1.1125593625246093,0.0280160461572787,0.01914834550774587,all protein,run3
32,1.1412694787612154,0.02694252808743937,0.017960221479072475,all protein,run3
33,1.1699795949978213,0.02604310990422914,0.01687265151401286,all protein,run3
34,1.1986897112344272,0.025322418438336054,0.01587496162868354,all protein,run3
35,1.2273998274710334,0.024775328919623904,0.014957830011967587,all protein,run3
36,1.2561099437076393,0.024379855019749694,0.014113089226275589,all protein,run3
37,1.2848200599442452,0.024092400957753748,0.0133335610496336,all protein,run3
38,1.3135301761808513,0.02384894890794851,0.012612917987199691,all protein,run3
39,1.3422402924174572,0.023573924952662074,0.011945566675475805,all protein,run3
40,1.3709504086540634,0.02319529932971251,0.011326549338775794,all protein,run3
41,1.3996605248906693,0.022661353587044363,0.010751460195095078,all protein,run3
42,1.4283706411272752,0.021953176995635877,0.010216374292669092,all protein,run3
43,1.4570807573638813,0.02108826447991588,0.009717786723484712,all protein,run3
44,1.4857908736004872,0.0201140709063179,0.0092525605319343,all protein,run3
45,1.5145009898370931,0.019094308013091185,0.008817881935687128,all protein,run3
46,1.5432111060736993,0.018093215689523243,0.008411221717117286,all protein,run3
47,1.5719212223103052,0.01716296752460521,0.008030301839215947,all protein,run3
48,1.600631338546911,0.016337152852767323,0.007673066499131052,all protein,run3
49,1.6293414547835172,0.015630318273398294,0.007337656962597801,all protein,run3
50,1.6580515710201233,0.015041384914434169,0.007022389629271373,all protein,run3
51,1.6867616872567293,0.014558217967532741,0.006725736866869265,all protein,run3
52,1.7154718034933352,0.014161541825741648,0.00644631022466018,all protein,run3
53,1.744181919729941,0.01382787657872908,0.006182845697055885,all protein,run3
54,1.772892035966547,0.013532219508438744,0.005934190758156932,all protein,run3
55,1.801602152203153,0.01325126142525222,0.005699292929907458,all protein,run3
56,1.8303122684397592,0.012967148822233978,0.005477189681507571,all protein,run3
57,1.8590223846763652,0.01267082513026681,0.005266999487110707,all protein,run3
58,1.887732500912971,0.01236352697308273,0.005067913893569385,all protein,run3
59,1.916442617149577,0.012055434017119924,0.00487919047087779,all protein,run3
60,1.9451527333861829,0.011761586364087362,0.004700146535640201,all protein,run3
61,1.9738628496227892,0.01149639552720833,0.004530153552901429,all protein,run3
62,2.002572965859395,0.011268736391075555,0.004368632134445441,all protein,run3
63,2.0312830820960013,0.011079376435337008,0.00421504756256116,all protein,run3
64,2.0599931983326067,0.010921501396648272,0.004068905777588427,all protein,run3
65,2.088703314569213,0.010783826212793163,0.003929749775538975,all protein,run3
66,2.1174134308058186,0.010654810717582642,0.0037971563689434802,all protein,run3
67,2.146123547042425,0.010526196521593069,0.003670733269977063,all protein,run3
68,2.1748336632790313,0.010394470110982552,0.003550116460006677,all protein,run3
69,2.2035437795156367,0.010259697071454658,0.0034349678141039537,all protein,run3
70,2.232253895752243,0.010122141895163852,0.0033249729528784418,all protein,run3
71,2.2609640119888486,0.009977924472956132,0.0032198392972935036,all protein,run3
72,2.289674128225455,0.00981548052265302,0.0031192943050025327,all protein,run3
73,2.3183842444620613,0.009614624270588812,0.0030230838692480275,all protein,run3
74,2.3470943606986667,0.009349420417992641,0.0029309708635514315,all protein,run3
75,2.375804476935273,0.008994864632592504,0.002842733817332249,all protein,run3
76,2.4045145931718785,0.008535836931631029,0.0027581657092677373,all protein,run3
