,protid,P,S,C
0,x0000_ ,3,29,4
1,x0001_ ,1,4,1
2,x0002_ ,0,4,2
3,x0003_ ,0,9,1
4,x0004_ ,0,14,1
5,x0005_ ,1,13,1
6,x0006_ ,2,11,2
7,x0007_ ,1,11,3
8,x0008_ ,1,18,2
9,x0009_ ,4,16,1
10,x0010_ ,1,13,1
11,x0011_ ,1,8,1
12,x0012_ ,36,77,7
13,x0013_ ,138,173,14
14,x0014_ ,88,176,12
15,x0015_ ,99,131,23
16,x0016_ ,34,85,1
17,x0017_ ,171,252,12
18,x0018_ ,71,132,7
19,x0019_ ,3,38,4
20,x0020_ ,1,22,5
21,x0021_ ,2,37,6
22,x0022_ ,8,53,5
23,x0023_ ,13,113,10
24,x0024_ ,90,230,31
25,x0025_ ,82,305,48
26,x0026_ ,156,338,34
27,x0027_ ,81,174,21
28,x0028_ ,118,181,26
29,x0029_ ,245,184,36
30,x0030_ ,442,610,76
31,x0031_ ,303,463,95
32,x0032_ ,217,442,82
33,x0033_ ,207,237,52
34,x0034_ ,265,222,41
35,x0035_ ,170,322,36
36,x0036_ ,216,265,47
37,x0037_ ,264,359,43
38,x0038_ ,583,813,200
39,x0039_ ,478,572,381
40,x0040_ ,346,682,298
41,x0041_ ,350,467,218
42,x0042_ ,370,682,433
43,x0043_ ,331,735,365
44,x0044_ ,424,712,460
45,x0045_ ,514,705,492
46,x0046_ ,669,920,364
47,x0047_ ,512,943,436
48,x0048_ ,414,654,258
49,x0049_ ,508,795,293
50,x0050_ ,534,700,306
51,x0051_ ,487,834,219
52,x0052_ ,455,997,318
53,x0053_ ,515,872,324
54,x0054_ ,521,906,343
55,x0055_ ,518,841,352
56,x0056_ ,638,923,330
57,x0057_ ,455,694,282
58,x0058_ ,504,1105,344
59,x0059_ ,419,630,277
60,x0060_ ,609,707,395
61,x0061_ ,664,793,373
62,x0062_ ,556,1145,379
63,x0063_ ,535,657,348
64,x0064_ ,767,1193,386
65,x0065_ ,720,667,443
66,x0066_ ,610,639,404
67,x0067_ ,621,781,428
68,x0068_ ,404,871,265
69,x0069_ ,499,1285,361
70,x0070_ ,675,749,406
71,x0071_ ,487,858,425
72,x0072_ ,795,1337,569
73,x0073_ ,568,719,366
74,x0074_ ,481,467,180
75,x0075_ ,321,612,195
76,x0076_ ,398,613,264
77,x0077_ ,641,880,432
78,x0078_ ,475,696,314
79,x0079_ ,429,620,277
80,x0080_ ,531,903,396
81,x0081_ ,545,580,415
82,x0082_ ,793,1359,623
83,x0083_ ,727,794,495
84,x0084_ ,639,1252,524
85,x0085_ ,801,1061,553
86,x0086_ ,546,979,428
87,x0087_ ,747,1178,353
88,x0088_ ,784,1225,476
89,x0089_ ,717,1180,381
90,x0090_ ,499,597,282
91,x0091_ ,750,1060,401
92,x0092_ ,532,808,430
93,x0093_ ,317,889,279
94,x0094_ ,408,1208,400
95,x0095_ ,390,785,478
96,x0096_ ,518,1057,441
97,x0097_ ,668,1222,595
98,x0098_ ,864,1980,642
99,x0099_ ,614,1462,409
100,x0100_ ,932,1561,588
101,x0101_ ,714,1211,631
102,x0102_ ,788,1610,762
103,x0103_ ,737,1244,647
104,x0104_ ,831,1339,531
105,x0105_ ,494,1157,429
106,x0106_ ,645,890,545
107,x0107_ ,584,1052,509
108,x0108_ ,493,851,426
109,x0109_ ,532,1114,632
110,x0110_ ,774,1778,769
