,protid,P,S,C
216,x0216_X,623,1873,279
217,x0217_X,529,1907,265
218,x0218_X,542,1786,228
219,x0219_X,480,1787,218
220,x0220_X,482,1605,191
221,x0221_X,697,1979,327
222,x0222_X,676,1951,299
223,x0223_X,561,1790,277
224,x0224_X,610,1865,300
225,x0225_X,642,2040,321
226,x0226_X,502,1867,259
227,x0227_X,647,1891,312
228,x0228_X,587,1860,254
229,x0229_X,682,2024,297
230,x0230_X,674,2009,320
231,x0231_X,534,1848,246
232,x0232_X,497,1672,177
233,x0233_X,644,1897,309
234,x0234_X,617,1663,276
235,x0235_X,522,1810,224
236,x0236_X,590,1813,225
237,x0237_X,607,2026,293
238,x0238_X,731,2120,309
239,x0239_X,573,1948,254
240,x0240_X,522,1930,249
241,x0241_X,534,1852,242
242,x0242_X,618,1854,229
243,x0243_X,772,2120,348
244,x0244_X,586,1836,279
245,x0245_X,712,2068,301
246,x0246_X,654,1937,259
247,x0247_X,713,1922,291
248,x0248_X,663,1987,276
249,x0249_X,553,1702,230
250,x0250_X,641,1906,303
251,x0251_X,701,1955,270
252,x0252_X,623,1766,239
253,x0253_X,560,2046,244
254,x0254_X,592,1922,261
255,x0255_X,435,1602,241
256,x0256_X,541,1714,230
257,x0257_X,533,1906,262
258,x0258_X,525,1712,248
259,x0259_X,502,1774,209
260,x0260_X,564,1860,277
261,x0261_X,558,1847,223
262,x0262_X,632,1849,294
263,x0263_X,550,1863,215
264,x0264_X,678,1853,244
265,x0265_X,638,1834,229
266,x0266_X,525,1690,200
267,x0267_X,493,1580,205
268,x0268_X,666,1781,254
269,x0269_X,498,1627,221
270,x0270_X,486,1830,169
271,x0271_X,480,1665,201
272,x0272_X,520,1796,240
273,x0273_X,504,1610,232
274,x0274_X,500,1629,217
275,x0275_X,543,1759,254
276,x0276_X,449,1600,162
277,x0277_X,513,1759,213
278,x0278_X,491,1569,218
279,x0279_X,537,1783,236
280,x0280_X,533,1590,223
281,x0281_X,458,1505,182
282,x0282_X,460,1744,211
283,x0283_X,518,1680,217
284,x0284_X,634,1808,259
285,x0285_X,629,1804,268
286,x0286_X,571,1664,250
287,x0287_X,516,1714,255
288,x0288_X,513,1578,255
289,x0289_X,633,1816,326
290,x0290_X,527,1499,252
291,x0291_X,528,1492,258
292,x0292_X,636,1739,326
293,x0293_X,511,1593,242
294,x0294_X,641,1866,343
295,x0295_X,546,1911,244
296,x0296_X,472,1564,242
297,x0297_X,684,2068,329
298,x0298_X,546,1796,286
299,x0299_X,613,1857,305
300,x0300_X,399,1418,199
301,x0301_X,443,1494,208
302,x0302_X,567,1630,288
303,x0303_X,592,1735,301
304,x0304_X,422,1490,233
305,x0305_X,429,1438,213
306,x0306_X,490,1525,263
307,x0307_X,463,1358,259
308,x0308_X,436,1408,236
309,x0309_X,473,1502,236
310,x0310_X,341,1150,162
311,x0311_X,608,1653,295
312,x0312_X,611,1780,310
313,x0313_X,452,1486,273
314,x0314_X,580,1675,301
315,x0315_X,557,1406,315
316,x0316_X,480,1586,280
317,x0317_X,415,1359,242
318,x0318_X,480,1433,298
319,x0319_X,483,1574,289
320,x0320_X,583,1733,312
321,x0321_X,544,1733,279
322,x0322_X,536,1649,300
323,x0323_X,461,1603,214
324,x0324_X,449,1631,198
325,x0325_X,633,1791,351
326,x0326_X,517,1546,283
327,x0327_X,450,1528,233
328,x0328_X,396,1307,188
329,x0329_X,527,1778,323
330,x0330_X,533,1654,298
331,x0331_X,514,1604,297
332,x0332_X,436,1338,242
333,x0333_X,418,1677,251
334,x0334_X,651,1783,341
335,x0335_X,526,1739,291
336,x0336_X,568,1894,313
337,x0337_X,555,1774,299
338,x0338_X,584,1884,307
339,x0339_X,498,1655,262
340,x0340_X,545,1652,288
341,x0341_X,470,1782,304
342,x0342_X,534,1685,266
343,x0343_X,592,1860,323
344,x0344_X,683,1917,326
345,x0345_X,550,1779,299
346,x0346_X,533,1794,301
347,x0347_X,531,1772,325
348,x0348_X,516,1791,321
349,x0349_X,415,1575,221
350,x0350_X,537,1857,307
351,x0351_X,480,1511,287
352,x0352_X,470,1668,277
353,x0353_X,558,1685,313
354,x0354_X,595,1780,326
355,x0355_X,581,1674,301
356,x0356_X,579,1765,284
357,x0357_X,677,1881,368
358,x0358_X,606,1754,341
359,x0359_X,713,1698,364
360,x0360_X,532,1792,304
361,x0361_X,786,1994,380
362,x0362_X,621,1820,334
363,x0363_X,612,1773,316
364,x0364_X,608,1544,333
365,x0365_X,613,1832,330
366,x0366_X,610,1693,325
367,x0367_X,661,1799,315
368,x0368_X,685,1763,327
369,x0369_X,659,1714,328
370,x0370_X,684,1781,310
371,x0371_X,668,1908,350
372,x0372_X,644,1757,300
373,x0373_X,646,1742,313
374,x0374_X,701,1867,358
375,x0375_X,610,1916,324
376,x0376_X,670,1857,323
377,x0377_X,623,1827,325
378,x0378_X,650,1674,304
379,x0379_X,768,2020,372
380,x0380_X,696,1840,314
381,x0381_X,662,1845,268
382,x0382_X,739,1901,363
383,x0383_X,647,1759,295
384,x0384_X,765,2122,353
385,x0385_X,715,2018,348
386,x0386_X,683,1820,347
387,x0387_X,666,1868,316
388,x0388_X,828,2175,400
389,x0389_X,761,2087,392
390,x0390_X,805,1938,417
391,x0391_X,785,1749,316
392,x0392_X,935,2000,386
393,x0393_X,842,2026,372
394,x0394_X,757,1993,331
395,x0395_X,742,1848,336
396,x0396_X,854,2033,353
397,x0397_X,787,1948,346
398,x0398_X,796,2028,336
399,x0399_X,930,2193,447
400,x0400_X,960,2127,399
401,x0401_X,738,1835,277
402,x0402_X,727,2013,341
403,x0403_X,894,1909,357
404,x0404_X,809,1873,321
405,x0405_X,801,2085,354
406,x0406_X,716,1879,331
407,x0407_X,1003,2274,378
408,x0408_X,846,1813,344
409,x0409_X,862,1963,335
410,x0410_X,839,1932,310
411,x0411_X,839,1892,350
412,x0412_X,798,2204,401
413,x0413_X,888,2049,384
414,x0414_X,885,1991,364
415,x0415_X,796,1870,337
416,x0416_X,892,2136,375
417,x0417_X,973,2344,424
418,x0418_X,846,2192,365
419,x0419_X,906,2087,410
420,x0420_X,827,1855,399
421,x0421_X,889,1937,414
422,x0422_X,859,2314,397
423,x0423_X,928,2134,424
424,x0424_X,886,2128,389
425,x0425_X,844,2232,410
426,x0426_X,887,1974,379
427,x0427_X,889,2263,418
428,x0428_X,698,1802,350
429,x0429_X,834,2112,375
430,x0430_X,822,1813,368
431,x0431_X,732,1990,359
432,x0432_X,842,2318,410
433,x0433_X,960,2412,456
434,x0434_X,969,2295,391
435,x0435_X,1189,2451,455
436,x0436_X,929,2152,405
437,x0437_X,855,2034,432
438,x0438_X,874,2079,368
439,x0439_X,871,2013,356
440,x0440_X,922,2228,420
441,x0441_X,923,1943,374
442,x0442_X,1045,2237,459
443,x0443_X,972,2488,456
444,x0444_X,1009,2278,454
445,x0445_X,1013,2363,452
446,x0446_X,962,2262,431
447,x0447_X,1141,2231,456
448,x0448_X,938,2297,420
449,x0449_X,749,2129,362
450,x0450_X,850,2168,385
451,x0451_X,916,2280,459
452,x0452_X,729,2209,383
453,x0453_X,911,2150,425
454,x0454_X,1057,2068,445
455,x0455_X,1013,2275,453
456,x0456_X,1000,2471,445
457,x0457_X,886,2424,431
458,x0458_X,946,2268,441
459,x0459_X,953,2157,376
460,x0460_X,920,2568,428
461,x0461_X,1047,2394,475
462,x0462_X,1022,2281,438
463,x0463_X,1004,2400,424
464,x0464_X,907,2277,386
465,x0465_X,838,2440,377
466,x0466_X,977,2447,404
467,x0467_X,1024,2426,466
468,x0468_X,1177,2488,430
469,x0469_X,960,2210,400
470,x0470_X,1171,2379,455
471,x0471_X,964,2211,395
472,x0472_X,1261,2572,538
473,x0473_X,1025,2379,424
474,x0474_X,1111,2534,450
475,x0475_X,1104,2570,421
476,x0476_X,1114,2430,461
477,x0477_X,1231,2658,482
478,x0478_X,1166,2614,406
479,x0479_X,1048,2523,434
480,x0480_X,1054,2545,406
481,x0481_X,1155,2460,480
482,x0482_X,1194,2782,489
483,x0483_X,1132,2567,487
484,x0484_X,1147,2639,492
485,x0485_X,1052,2422,442
486,x0486_X,1046,2456,414
487,x0487_X,870,2155,378
488,x0488_X,1181,2697,400
489,x0489_X,952,2259,359
490,x0490_X,791,2113,256
491,x0491_X,948,2168,370
492,x0492_X,1016,2412,400
493,x0493_X,984,2362,395
494,x0494_X,908,2264,314
495,x0495_X,936,2322,397
496,x0496_X,1035,2469,412
497,x0497_X,992,2157,421
498,x0498_X,1053,2346,429
499,x0499_X,1300,2709,551
500,x0500_X,1134,2368,503
501,x0501_X,981,2414,433
502,x0502_X,1247,2671,547
503,x0503_X,1222,2738,505
504,x0504_X,1234,2640,497
505,x0505_X,1275,2639,551
506,x0506_X,1099,2515,481
507,x0507_X,1021,2465,430
508,x0508_X,950,2285,420
509,x0509_X,1020,2292,429
510,x0510_X,1062,2276,403
511,x0511_X,1050,2441,425
512,x0512_X,972,2263,420
513,x0513_X,976,2263,416
514,x0514_X,1120,2598,468
515,x0515_X,1146,2502,447
516,x0516_X,1219,2645,507
517,x0517_X,1039,2334,455
518,x0518_X,1193,2685,493
519,x0519_X,1083,2385,448
520,x0520_X,1219,2560,499
521,x0521_X,1203,2468,515
522,x0522_X,1235,2538,505
523,x0523_X,1205,2667,499
524,x0524_X,1118,2604,464
525,x0525_X,1114,2439,452
526,x0526_X,1068,2384,376
527,x0527_X,1243,2501,442
528,x0528_X,1230,2614,434
529,x0529_X,1123,2460,422
530,x0530_X,1066,2360,402
531,x0531_X,1076,2328,424
532,x0532_X,1141,2350,425
533,x0533_X,1153,2487,455
534,x0534_X,983,2336,336
535,x0535_X,1301,2568,502
536,x0536_X,1321,2781,554
537,x0537_X,1164,2417,514
538,x0538_X,1348,2747,561
539,x0539_X,1234,2625,512
540,x0540_X,1323,2874,556
541,x0541_X,1233,2639,499
542,x0542_X,1178,2592,508
543,x0543_X,1254,2771,535
544,x0544_X,1279,2709,477
545,x0545_X,1226,2621,524
546,x0546_X,1252,2685,528
547,x0547_X,1195,2392,508
548,x0548_X,1347,2750,559
549,x0549_X,1264,2801,495
550,x0550_X,1226,2624,521
551,x0551_X,1411,2953,586
552,x0552_X,1298,2617,550
553,x0553_X,1350,2836,567
554,x0554_X,1300,2645,520
555,x0555_X,1206,2507,473
556,x0556_X,1293,2566,512
557,x0557_X,1268,2647,550
558,x0558_X,1332,2693,535
559,x0559_X,1254,2678,533
560,x0560_X,1331,2674,555
561,x0561_X,1214,2565,499
562,x0562_X,1341,2837,575
563,x0563_X,1197,2554,435
564,x0564_X,1281,2833,542
565,x0565_X,1421,2744,588
566,x0566_X,1300,2739,521
567,x0567_X,1269,2479,530
568,x0568_X,1269,2928,556
569,x0569_X,1222,2400,473
570,x0570_X,1384,2921,546
571,x0571_X,1307,2703,550
572,x0572_X,1445,3014,591
573,x0573_X,1192,2596,490
574,x0574_X,1195,2322,488
575,x0575_X,1226,2379,490
576,x0576_X,1104,2451,450
577,x0577_X,1034,2357,437
578,x0578_X,1287,2632,546
579,x0579_X,1166,2535,485
580,x0580_X,1041,2300,400
581,x0581_X,1260,2617,494
582,x0582_X,1360,2851,542
583,x0583_X,1371,2931,549
584,x0584_X,1253,2576,542
585,x0585_X,1301,2702,557
586,x0586_X,1284,2742,534
587,x0587_X,1268,2665,532
588,x0588_X,1145,2551,490
589,x0589_X,1271,2795,494
590,x0590_X,1275,2676,514
591,x0591_X,1276,2761,523
592,x0592_X,1373,2947,531
593,x0593_X,1349,2771,536
594,x0594_X,1352,2844,557
595,x0595_X,1353,2830,570
596,x0596_X,1219,2538,521
597,x0597_X,1165,2442,488
598,x0598_X,1225,2640,506
599,x0599_X,1172,2494,520
600,x0600_X,1270,2555,546
601,x0601_X,1152,2515,519
602,x0602_X,1137,2502,456
603,x0603_X,1037,2317,474
604,x0604_X,1320,2773,563
605,x0605_X,1277,2644,544
606,x0606_X,1127,2385,493
607,x0607_X,1276,2720,564
608,x0608_X,1241,2684,540
609,x0609_X,1265,2665,535
610,x0610_X,1148,2275,493
611,x0611_X,1219,2565,494
612,x0612_X,1247,2500,531
613,x0613_X,1317,2734,509
614,x0614_X,1223,2456,507
