,protid,P,S,C
0,x0000_ ,332,793,100
1,x0001_ ,623,1013,255
2,x0002_ ,503,1101,226
3,x0003_ ,781,1538,309
4,x0004_ ,673,1794,308
5,x0005_ ,616,1674,266
6,x0006_ ,751,1636,314
7,x0007_ ,729,1655,317
8,x0008_ ,738,1576,314
9,x0009_ ,962,2068,373
10,x0010_ ,996,1806,358
11,x0011_ ,629,1864,208
12,x0012_ ,783,1906,314
13,x0013_ ,823,1920,338
14,x0014_ ,917,2072,497
15,x0015_ ,833,1994,333
16,x0016_ ,768,1914,321
17,x0017_ ,1152,2604,615
18,x0018_ ,1153,2351,591
19,x0019_ ,1336,2349,593
20,x0020_ ,1158,2713,594
21,x0021_ ,1523,2884,744
22,x0022_ ,1514,2513,726
23,x0023_ ,1670,3102,899
24,x0024_ ,1388,2659,804
25,x0025_ ,1619,3021,925
26,x0026_ ,1463,2866,822
27,x0027_ ,1541,2961,854
28,x0028_ ,1462,3503,921
29,x0029_ ,1864,3481,983
30,x0030_ ,1660,3204,807
31,x0031_ ,1761,3510,945
32,x0032_ ,1676,3516,913
33,x0033_ ,1842,3821,1007
34,x0034_ ,1837,3769,949
35,x0035_ ,2004,3870,1029
36,x0036_ ,1926,4024,953
37,x0037_ ,1915,3420,881
38,x0038_ ,2007,3584,964
39,x0039_ ,1857,3394,854
40,x0040_ ,2166,3757,980
41,x0041_ ,1805,3454,957
42,x0042_ ,1650,3346,890
43,x0043_ ,1978,3630,947
44,x0044_ ,1989,3566,1000
45,x0045_ ,1779,3830,946
46,x0046_ ,1902,3553,986
47,x0047_ ,2235,3592,959
48,x0048_ ,2297,3663,1061
49,x0049_ ,1913,3427,988
50,x0050_ ,2345,3558,1118
51,x0051_ ,2141,3943,1056
52,x0052_ ,1998,3573,984
53,x0053_ ,2426,4211,1113
54,x0054_ ,2936,3928,1264
55,x0055_ ,3138,4249,1259
56,x0056_ ,3087,4286,1273
57,x0057_ ,2698,4121,1056
58,x0058_ ,3068,4190,1257
59,x0059_ ,3325,4063,1258
