,protid,P,S,C
0,x0000_ ,136,467,63
1,x0001_ ,156,557,67
2,x0002_ ,396,1107,208
3,x0003_ ,327,836,163
4,x0004_ ,534,1200,282
5,x0005_ ,527,1189,300
6,x0006_ ,650,1511,324
7,x0007_ ,795,2154,454
8,x0008_ ,698,1936,447
9,x0009_ ,636,1902,388
10,x0010_ ,552,1888,335
11,x0011_ ,737,2066,437
12,x0012_ ,676,1977,428
13,x0013_ ,816,2083,504
14,x0014_ ,679,2072,409
15,x0015_ ,693,2153,394
16,x0016_ ,750,2101,470
17,x0017_ ,624,2030,349
18,x0018_ ,643,1995,443
19,x0019_ ,697,2123,420
20,x0020_ ,810,2162,514
21,x0021_ ,770,2045,425
22,x0022_ ,875,2274,506
23,x0023_ ,796,2260,514
24,x0024_ ,932,2324,572
25,x0025_ ,668,2153,419
26,x0026_ ,746,2058,436
27,x0027_ ,767,2229,490
28,x0028_ ,652,2149,359
29,x0029_ ,728,2170,423
30,x0030_ ,665,1930,408
31,x0031_ ,691,2109,440
32,x0032_ ,642,1737,396
33,x0033_ ,790,2069,462
34,x0034_ ,663,2074,344
35,x0035_ ,724,1944,413
36,x0036_ ,682,2132,426
37,x0037_ ,816,2291,463
38,x0038_ ,595,1843,337
39,x0039_ ,740,1998,422
40,x0040_ ,720,2082,438
41,x0041_ ,633,1963,407
42,x0042_ ,673,1885,445
43,x0043_ ,629,2023,429
44,x0044_ ,698,2269,436
45,x0045_ ,725,2385,460
46,x0046_ ,726,2166,429
47,x0047_ ,726,2313,447
48,x0048_ ,781,2561,486
49,x0049_ ,773,2353,444
50,x0050_ ,704,2362,420
51,x0051_ ,735,2371,464
52,x0052_ ,822,2421,498
53,x0053_ ,781,2469,491
54,x0054_ ,870,2610,525
55,x0055_ ,773,2314,483
56,x0056_ ,734,2459,462
57,x0057_ ,738,2130,453
58,x0058_ ,852,2646,507
59,x0059_ ,757,2266,463
60,x0060_ ,660,2082,418
61,x0061_ ,796,2408,451
62,x0062_ ,740,2282,464
63,x0063_ ,594,2044,365
64,x0064_ ,724,2323,439
65,x0065_ ,687,2526,442
66,x0066_ ,734,2296,456
67,x0067_ ,699,2196,426
68,x0068_ ,703,2364,419
69,x0069_ ,728,2254,421
70,x0070_ ,822,2537,469
71,x0071_ ,765,2376,514
72,x0072_ ,884,2528,504
73,x0073_ ,848,2697,550
74,x0074_ ,877,2858,543
75,x0075_ ,882,2943,546
