,protid,P,S,C
0,x0000_X,25,103,25
1,x0001_X,14,89,17
2,x0002_X,13,90,17
3,x0003_X,18,116,19
4,x0004_X,16,75,14
5,x0005_X,35,129,26
6,x0006_X,28,221,27
7,x0007_X,42,182,29
8,x0008_X,27,172,11
9,x0009_X,32,161,17
10,x0010_X,43,211,22
11,x0011_X,43,229,28
12,x0012_X,40,185,28
13,x0013_X,38,286,27
14,x0014_X,50,301,27
15,x0015_X,52,325,29
16,x0016_X,38,285,28
17,x0017_X,56,276,19
18,x0018_X,59,236,30
19,x0019_X,46,252,27
20,x0020_X,52,297,29
21,x0021_X,45,271,35
22,x0022_X,44,250,31
23,x0023_X,69,273,36
24,x0024_X,39,242,19
25,x0025_X,39,180,12
26,x0026_X,52,300,26
27,x0027_X,64,266,21
28,x0028_X,77,275,26
29,x0029_X,51,187,15
30,x0030_X,65,215,20
31,x0031_X,85,247,19
32,x0032_X,80,302,24
33,x0033_X,82,246,23
34,x0034_X,63,221,16
35,x0035_X,93,213,19
36,x0036_X,95,285,26
37,x0037_X,104,302,29
38,x0038_X,77,226,22
39,x0039_X,135,364,29
40,x0040_X,132,398,31
41,x0041_X,185,443,38
42,x0042_X,154,375,32
43,x0043_X,137,302,26
44,x0044_X,152,374,35
45,x0045_X,181,451,34
46,x0046_X,158,438,34
47,x0047_X,163,501,39
48,x0048_X,160,470,36
49,x0049_X,166,536,39
50,x0050_X,156,401,38
51,x0051_X,162,505,36
52,x0052_X,149,447,34
53,x0053_X,187,464,52
54,x0054_X,184,556,40
55,x0055_X,129,400,32
56,x0056_X,156,443,31
57,x0057_X,173,495,35
58,x0058_X,146,451,33
59,x0059_X,170,559,51
60,x0060_X,178,518,45
61,x0061_X,189,546,45
62,x0062_X,187,511,43
63,x0063_X,164,462,40
64,x0064_X,168,459,39
65,x0065_X,187,550,43
66,x0066_X,179,488,36
67,x0067_X,153,439,38
68,x0068_X,154,439,37
69,x0069_X,182,481,40
70,x0070_X,173,490,40
71,x0071_X,196,536,48
72,x0072_X,181,486,36
73,x0073_X,129,367,32
74,x0074_X,177,524,40
75,x0075_X,154,439,37
76,x0076_X,150,409,36
77,x0077_X,144,409,42
78,x0078_X,164,489,50
79,x0079_X,171,449,46
80,x0080_X,213,521,46
81,x0081_X,154,436,40
82,x0082_X,178,448,40
83,x0083_X,169,452,45
84,x0084_X,157,496,50
85,x0085_X,190,541,49
86,x0086_X,201,570,49
87,x0087_X,184,510,47
88,x0088_X,142,355,31
89,x0089_X,137,359,32
90,x0090_X,152,402,41
91,x0091_X,242,645,59
92,x0092_X,221,630,52
93,x0093_X,192,501,48
94,x0094_X,213,555,52
95,x0095_X,222,629,52
96,x0096_X,202,603,56
97,x0097_X,210,558,52
98,x0098_X,213,644,46
99,x0099_X,212,673,61
100,x0100_X,195,650,58
101,x0101_X,211,623,69
102,x0102_X,253,671,66
103,x0103_X,213,638,52
104,x0104_X,151,542,48
105,x0105_X,225,623,55
106,x0106_X,230,681,79
107,x0107_X,241,851,84
108,x0108_X,232,816,80
109,x0109_X,219,736,80
110,x0110_X,227,808,93
111,x0111_X,204,749,82
112,x0112_X,235,803,90
113,x0113_X,250,828,98
114,x0114_X,211,830,87
115,x0115_X,245,798,85
116,x0116_X,258,873,94
117,x0117_X,243,795,90
118,x0118_X,257,829,90
119,x0119_X,239,755,87
120,x0120_X,246,789,93
121,x0121_X,244,796,88
122,x0122_X,259,826,91
123,x0123_X,249,832,95
124,x0124_X,249,802,77
125,x0125_X,290,984,104
126,x0126_X,277,947,102
127,x0127_X,250,835,91
128,x0128_X,282,892,101
129,x0129_X,237,769,75
130,x0130_X,287,949,90
131,x0131_X,271,904,100
132,x0132_X,259,783,86
133,x0133_X,246,887,92
134,x0134_X,265,866,94
135,x0135_X,245,788,95
136,x0136_X,268,964,94
137,x0137_X,268,910,97
138,x0138_X,243,833,100
139,x0139_X,221,780,80
140,x0140_X,288,912,75
141,x0141_X,217,767,51
142,x0142_X,222,686,82
143,x0143_X,266,919,90
144,x0144_X,232,815,81
145,x0145_X,237,811,80
146,x0146_X,271,917,87
147,x0147_X,279,947,100
148,x0148_X,233,862,81
149,x0149_X,288,890,97
150,x0150_X,265,922,88
151,x0151_X,260,834,82
152,x0152_X,268,857,100
153,x0153_X,210,701,79
154,x0154_X,237,850,89
155,x0155_X,227,772,82
156,x0156_X,213,674,59
157,x0157_X,298,879,98
158,x0158_X,257,926,92
159,x0159_X,260,872,93
160,x0160_X,254,838,84
161,x0161_X,289,1043,99
162,x0162_X,274,952,100
163,x0163_X,287,991,100
164,x0164_X,287,988,103
165,x0165_X,271,860,94
166,x0166_X,271,960,95
167,x0167_X,277,1001,100
168,x0168_X,267,962,97
169,x0169_X,315,1113,112
170,x0170_X,258,923,94
171,x0171_X,291,990,97
172,x0172_X,285,989,104
173,x0173_X,296,1074,115
174,x0174_X,277,987,114
175,x0175_X,316,1108,116
176,x0176_X,288,982,108
177,x0177_X,259,886,80
178,x0178_X,290,987,101
179,x0179_X,301,957,120
180,x0180_X,331,1125,140
181,x0181_X,276,939,111
182,x0182_X,353,1153,147
183,x0183_X,296,967,115
184,x0184_X,247,885,93
185,x0185_X,342,1157,154
186,x0186_X,295,1046,144
187,x0187_X,290,886,99
188,x0188_X,305,955,118
189,x0189_X,216,807,105
190,x0190_X,228,966,132
191,x0191_X,323,1195,193
192,x0192_X,288,1011,132
193,x0193_X,283,1060,142
