,Cstar factor
0,0.13519230769230767
1,0.07210526315789471
2,0.055
3,0.025
4,0.3240909090909091
5,0.015833333333333335
6,0.20083333333333334
7,0.020641025641025643
8,0.01989130434782609
9,0.2982142857142857
10,0.0073986486486486485
11,0.005
12,0.01989130434782609
13,0.20083333333333334
14,0.2982142857142857
15,0.09374999999999999
16,0.09846153846153846
17,0.15109375
18,1.57
19,2.5025000000000004
20,0.17375
21,1.2475
22,5.01
23,5.01
24,0.3082142857142856
25,5.01
26,5.01
27,5.01
28,0.14935483870967742
29,5.01
30,5.01
31,0.49650000000000005
32,0.07645833333333334
33,0.1520967741935484
34,1.2425000000000002
35,0.17017857142857143
36,0.06116438356164383
37,0.2716666666666667
38,0.08980392156862745
39,0.06549180327868853
40,1.2425000000000002
41,0.1
42,0.01
43,0.011
44,0.12138888888888884
45,0.03801020408163265
46,0.26656250000000004
47,0.3053125
48,0.040449438202247195
49,0.07645833333333334
50,0.1716
51,0.31714285714285717
52,0.056125
53,0.3082142857142856
54,0.2716666666666667
55,0.12073529411764707
56,0.05757352941176471
57,0.10657142857142858
58,0.1596
59,0.48624999999999996
60,0.0380952380952381
61,0.03949999999999999
62,0.06549180327868853
63,0.028260869565217384
64,0.1331818181818182
65,0.041777777777777775
66,0.03166666666666666
67,0.13107142857142856
68,0.1040625
69,0.07928571428571428
70,0.04576923076923078
71,0.021917293233082707
72,0.08285714285714284
73,0.0540625
74,0.28272727272727266
75,0.01
76,0.007916666666666666
77,0.025
78,0.11658536585365852
79,0.036052631578947364
80,0.0136
81,0.04382978723404255
82,0.16227272727272724
83,0.21318181818181817
84,0.1675
85,0.14625
86,0.14656249999999998
87,0.14846153846153845
88,0.182
89,0.05434782608695652
90,0.118125
91,0.1675
92,0.04674418604651162
93,0.0325
94,0.14625
95,0.21318181818181817
96,0.0540625
97,0.14833333333333334
98,0.1040625
99,0.0939285714285714
100,0.04365168539325843
101,0.06607692307692307
102,0.28272727272727266
103,0.08285714285714284
104,0.09055555555555556
105,0.06607692307692307
106,0.0791304347826087
107,0.05379310344827585
108,0.07928571428571428
109,0.05964788732394364
110,0.017463768115942024
111,0.016666666666666666
112,0.012499999999999999
113,0.05964788732394364
114,0.031862745098039214
115,0.02342592592592593
116,0.024999999999999998
117,0.034999999999999996
118,0.04745283018867924
119,0.05379310344827585
120,0.03989583333333333
121,0.01798076923076923
122,0.125
123,0.1331818181818182
124,0.060724637681159425
125,0.10306818181818182
126,0.1596
127,0.10657142857142858
128,0.07470588235294118
129,0.48624999999999996
130,0.039396551724137925
131,0.08617021276595742
132,0.11947368421052632
133,0.26499999999999996
134,0.041
135,0.04674418604651162
136,0.03793478260869565
137,0.024999999999999994
138,0.0806
139,0.035
140,0.02734375
141,0.03844444444444445
142,0.02547619047619048
143,0.024999999999999998
144,0.061666666666666675
145,0.028333333333333332
146,0.0512142857142857
147,0.04
148,0.39454545454545453
149,0.44000000000000006
150,0.058676470588235274
151,0.304
152,0.5266666666666666
153,0.06841666666666665
154,0.4436363636363636
155,0.015000000000000001
156,0.01375
157,0.0526923076923077
158,0.06580357142857142
159,0.039876543209876526
160,0.024285714285714275
161,0.04741935483870966
162,0.05456249999999999
163,0.17083333333333336
164,0.049113924050632904
165,0.04741935483870966
166,0.1629310344827586
167,0.07923076923076923
168,0.040449438202247195
169,0.13519230769230767
170,0.47555555555555556
171,0.15516129032258064
172,0.099
173,0.23736842105263156
174,0.04750000000000001
175,0.038571428571428576
176,0.0225
177,0.026250000000000002
178,0.11
179,0.015
180,0.39454545454545453
181,0.023855421686746987
182,0.03794444444444445
183,0.19949999999999998
184,1.57
185,1.16625
186,0.6585714285714286
187,0.04641025641025641
188,0.08
189,0.26656250000000004
190,0.3240909090909091
191,0.16425925925925924
192,0.16333333333333333
193,0.25263157894736843
194,0.23736842105263156
195,0.4436363636363636
196,0.30821428571428566
197,0.48600000000000004
198,0.020714285714285716
199,0.11
200,0.019375
201,0.48600000000000004
202,0.030267175572519085
203,0.01
204,0.04655844155844156
205,0.04566265060240964
206,0.021923076923076927
207,0.09081632653061225
208,0.05942028985507246
209,0.47555555555555556
210,0.03337837837837838
211,0.05363636363636362
212,0.05942028985507246
213,0.07362903225806453
214,0.09081632653061225
215,0.08188679245283019
216,0.049113924050632904
217,0.04
218,0.07362903225806453
219,0.03227272727272727
220,0.03738805970149254
221,0.11775862068965517
222,0.015000000000000001
223,0.030279999999999998
224,0.07378048780487803
225,0.039642857142857146
226,0.07857142857142857
227,0.09066666666666663
228,0.1573809523809524
229,0.25842105263157894
230,0.49428571428571433
231,0.1260344827586207
232,0.07215686274509805
233,0.25842105263157894
234,0.08716981132075471
235,0.08773809523809525
236,0.210625
237,0.5028571428571428
238,0.505
239,0.08773809523809525
240,0.03602941176470588
241,0.2389285714285714
242,1.6666666666666667
243,0.18692307692307694
244,0.08857142857142859
245,0.041666666666666664
246,0.09113636363636365
247,0.18692307692307694
248,1.6666666666666667
249,0.10042857142857142
250,0.13807692307692307
251,0.028125
252,0.7078571428571429
253,1.6616666666666668
254,0.1946
255,0.18788461538461537
256,0.618125
257,0.10724137931034482
258,0.062058823529411763
259,0.05161016949152543
260,0.017857142857142856
261,0.04125
262,0.4960000000000001
263,0.12293103448275863
264,0.005
265,0.06
266,0.4960000000000001
267,0.14
268,0.12293103448275863
269,0.09796875000000001
270,0.4566666666666667
271,0.26
272,0.12173076923076923
273,0.16208333333333336
274,0.4566666666666667
275,0.15833333333333333
276,0.3189285714285714
277,0.13833333333333334
278,0.2415625
279,1.6616666666666668
280,0.04419354838709678
281,0.7078571428571429
282,0.03940860215053763
283,0.07596774193548388
284,0.15833333333333333
285,0.11038461538461537
286,0.2940625
287,0.21931818181818177
288,0.2959375
289,0.998
290,0.02666666666666667
291,0.21931818181818177
292,0.26
293,0.998
294,0.2940625
295,0.018359374999999997
296,0.02392156862745098
297,0.05
298,0.02846153846153846
299,0.05130434782608694
300,0.08214285714285714
301,0.032
302,0.05425
303,0.023333333333333334
304,0.065
305,0.020833333333333332
306,0.04125
307,0.02875
308,0.05425
309,0.034024390243902435
310,0.027000000000000003
311,0.055
312,0.05559322033898305
313,0.039166666666666676
314,0.08214285714285714
315,0.127
316,0.04662790697674418
317,0.0668888888888889
318,0.14
319,0.13
320,0.06333333333333334
321,0.16208333333333336
322,0.08619565217391303
323,0.033888888888888885
324,0.13546875
325,0.6564285714285715
326,0.06424242424242424
327,0.031710526315789474
328,0.01438202247191011
329,0.010379310344827586
330,0.04575581395348837
331,0.043826530612244896
332,0.10682926829268292
333,0.03752577319587629
334,0.021090909090909084
335,0.03127906976744186
336,0.011666666666666667
337,0.043826530612244896
338,0.1838
339,0.0225
340,0.0475
341,0.07261904761904761
342,0.06032258064516128
343,0.058972602739726036
344,0.13185714285714287
345,0.28235294117647064
346,0.24236842105263157
347,0.49250000000000005
348,0.04606382978723405
349,0.03818181818181818
350,0.0746774193548387
351,0.1335294117647059
352,0.3078125
353,0.0375
354,0.030833333333333334
355,0.13044117647058825
356,0.3078125
357,0.06476923076923077
358,0.1459090909090909
359,0.03742424242424242
360,0.12592105263157896
361,0.11975000000000002
362,1.665
363,0.28235294117647064
364,0.6564285714285715
365,0.08619565217391303
366,0.32466666666666666
367,0.2455
368,1.665
369,2.4
370,0.295
371,0.1787037037037037
372,0.32466666666666666
373,0.0451898734177215
374,0.32300000000000006
375,0.17
376,0.09113636363636365
377,0.06723880597014927
378,0.3688461538461538
379,0.07378048780487803
380,0.10326086956521735
381,4.63
382,0.49428571428571433
383,0.5122222222222222
384,0.08595238095238096
385,0.14838709677419357
386,0.505
387,0.08824324324324324
388,0.2676923076923077
389,0.04365671641791045
390,0.03410714285714286
391,0.127
392,0.08662790697674419
393,0.08409090909090909
394,0.3189285714285714
395,0.22125
396,0.04597560975609756
397,0.0913265306122449
398,0.2415625
399,0.06816666666666668
400,0.4091666666666667
401,0.02918103448275862
402,0.08588888888888889
403,0.14044117647058824
404,0.10220930232558138
405,0.0653125
406,0.06476923076923077
407,0.13044117647058825
408,0.019999999999999997
409,0.01631578947368421
410,0.14044117647058824
411,0.3317857142857142
412,0.17
413,0.43166666666666664
414,0.3688461538461538
415,0.12354166666666666
416,1.1325
417,0.49400000000000005
418,0.18666666666666668
419,0.515
420,0.07741935483870968
421,0.178
422,0.8333333333333334
423,0.3317857142857142
424,0.09459999999999999
425,0.1292857142857143
426,0.295
427,1.2025000000000001
428,2.4
429,0.14968750000000003
430,0.24236842105263157
