,protid,P,S,C
0,x0000_ ,0,2,1
1,x0001_ ,0,1,0
2,x0002_ ,0,1,0
3,x0003_ ,0,1,0
4,x0004_ ,0,0,0
5,x0005_ ,0,0,0
6,x0006_ ,0,1,0
7,x0007_ ,0,1,0
8,x0008_ ,0,1,0
9,x0009_ ,0,1,0
10,x0010_ ,0,3,0
11,x0011_ ,0,1,0
12,x0012_ ,3,11,1
13,x0013_ ,3,11,1
14,x0014_ ,0,0,0
15,x0015_ ,0,1,0
16,x0016_ ,0,3,0
17,x0017_ ,6,14,1
18,x0018_ ,3,6,1
19,x0019_ ,0,1,0
20,x0020_ ,0,2,1
21,x0021_ ,0,1,0
22,x0022_ ,0,5,1
23,x0023_ ,0,5,1
24,x0024_ ,3,11,1
25,x0025_ ,2,11,2
26,x0026_ ,9,17,2
27,x0027_ ,9,17,2
28,x0028_ ,5,14,2
29,x0029_ ,5,14,2
30,x0030_ ,18,23,4
31,x0031_ ,12,20,4
32,x0032_ ,20,42,4
33,x0033_ ,24,17,4
34,x0034_ ,18,15,3
35,x0035_ ,12,20,4
36,x0036_ ,14,23,8
37,x0037_ ,12,20,4
38,x0038_ ,20,42,4
39,x0039_ ,26,26,3
40,x0040_ ,15,65,11
41,x0041_ ,12,24,9
42,x0042_ ,13,32,10
43,x0043_ ,20,59,12
44,x0044_ ,12,23,10
45,x0045_ ,20,59,12
46,x0046_ ,29,79,12
47,x0047_ ,15,53,10
48,x0048_ ,18,18,9
49,x0049_ ,25,42,11
50,x0050_ ,25,54,12
51,x0051_ ,21,60,10
52,x0052_ ,27,66,12
53,x0053_ ,18,28,9
54,x0054_ ,13,34,8
55,x0055_ ,19,38,9
56,x0056_ ,27,53,11
57,x0057_ ,25,54,12
58,x0058_ ,27,66,12
59,x0059_ ,19,38,9
60,x0060_ ,24,31,11
61,x0061_ ,19,38,9
62,x0062_ ,27,66,12
63,x0063_ ,34,72,14
64,x0064_ ,13,34,8
65,x0065_ ,21,48,9
66,x0066_ ,34,58,13
67,x0067_ ,22,53,16
68,x0068_ ,20,35,11
69,x0069_ ,26,57,8
70,x0070_ ,27,52,12
71,x0071_ ,21,60,10
72,x0072_ ,27,66,12
73,x0073_ ,18,28,9
74,x0074_ ,21,48,9
75,x0075_ ,14,32,9
76,x0076_ ,25,54,12
77,x0077_ ,27,53,11
78,x0078_ ,27,53,11
79,x0079_ ,22,60,9
80,x0080_ ,15,31,9
81,x0081_ ,8,27,10
82,x0082_ ,34,58,13
83,x0083_ ,27,53,11
84,x0084_ ,27,52,12
85,x0085_ ,22,47,9
86,x0086_ ,19,49,10
87,x0087_ ,27,66,12
88,x0088_ ,24,47,7
89,x0089_ ,27,62,16
90,x0090_ ,15,40,11
91,x0091_ ,14,41,11
92,x0092_ ,8,24,13
93,x0093_ ,23,80,17
94,x0094_ ,16,62,13
95,x0095_ ,16,62,13
96,x0096_ ,20,65,20
97,x0097_ ,71,137,68
98,x0098_ ,78,158,64
99,x0099_ ,73,142,61
100,x0100_ ,78,182,65
101,x0101_ ,87,152,86
102,x0102_ ,81,143,76
103,x0103_ ,81,173,71
104,x0104_ ,64,147,42
105,x0105_ ,51,146,34
106,x0106_ ,63,136,32
107,x0107_ ,46,150,35
108,x0108_ ,39,128,23
109,x0109_ ,33,78,60
110,x0110_ ,77,188,86
111,x0111_ ,55,145,53
112,x0112_ ,66,110,55
113,x0113_ ,90,163,72
114,x0114_ ,67,172,61
115,x0115_ ,69,141,66
116,x0116_ ,58,164,54
117,x0117_ ,33,123,15
118,x0118_ ,43,150,38
119,x0119_ ,46,146,39
120,x0120_ ,69,154,53
121,x0121_ ,57,133,41
122,x0122_ ,45,122,23
123,x0123_ ,52,138,41
124,x0124_ ,36,86,49
125,x0125_ ,47,120,43
126,x0126_ ,54,149,50
127,x0127_ ,44,136,51
128,x0128_ ,39,122,49
129,x0129_ ,57,164,55
130,x0130_ ,58,133,62
131,x0131_ ,71,170,59
132,x0132_ ,53,137,41
133,x0133_ ,45,84,42
134,x0134_ ,71,147,58
135,x0135_ ,75,190,60
136,x0136_ ,60,144,49
137,x0137_ ,41,156,34
138,x0138_ ,58,167,51
139,x0139_ ,51,140,40
140,x0140_ ,54,128,49
141,x0141_ ,36,105,49
142,x0142_ ,69,192,64
143,x0143_ ,74,167,59
144,x0144_ ,53,119,59
145,x0145_ ,63,103,44
146,x0146_ ,66,106,59
147,x0147_ ,62,139,52
148,x0148_ ,40,88,25
149,x0149_ ,63,142,48
150,x0150_ ,68,124,39
151,x0151_ ,69,163,68
152,x0152_ ,43,116,72
153,x0153_ ,73,104,76
154,x0154_ ,76,148,76
155,x0155_ ,54,116,61
156,x0156_ ,76,146,78
157,x0157_ ,71,138,44
158,x0158_ ,62,136,55
159,x0159_ ,61,126,44
160,x0160_ ,59,140,54
161,x0161_ ,52,125,54
162,x0162_ ,64,151,61
163,x0163_ ,51,108,51
164,x0164_ ,62,107,41
165,x0165_ ,58,136,59
166,x0166_ ,51,131,49
167,x0167_ ,47,93,50
168,x0168_ ,30,112,48
169,x0169_ ,32,114,25
170,x0170_ ,31,126,33
171,x0171_ ,23,95,18
172,x0172_ ,43,133,34
173,x0173_ ,22,106,25
174,x0174_ ,31,116,24
175,x0175_ ,79,167,54
176,x0176_ ,52,131,48
177,x0177_ ,43,117,50
178,x0178_ ,71,161,68
179,x0179_ ,65,145,66
180,x0180_ ,68,133,75
181,x0181_ ,42,106,62
182,x0182_ ,56,133,64
183,x0183_ ,47,102,41
184,x0184_ ,35,97,39
185,x0185_ ,55,124,74
186,x0186_ ,61,124,68
187,x0187_ ,62,128,63
188,x0188_ ,58,124,49
189,x0189_ ,57,128,68
190,x0190_ ,66,131,56
191,x0191_ ,74,152,74
192,x0192_ ,89,143,68
193,x0193_ ,73,135,45
194,x0194_ ,46,127,37
195,x0195_ ,72,165,39
196,x0196_ ,74,176,75
197,x0197_ ,63,119,49
198,x0198_ ,94,138,68
199,x0199_ ,50,104,36
200,x0200_ ,46,105,39
201,x0201_ ,32,70,34
202,x0202_ ,50,123,37
203,x0203_ ,44,75,17
204,x0204_ ,62,94,34
205,x0205_ ,70,127,56
206,x0206_ ,79,137,60
207,x0207_ ,67,133,53
208,x0208_ ,79,125,49
209,x0209_ ,51,121,59
210,x0210_ ,53,101,56
211,x0211_ ,73,104,33
