,protid,P,S,C
0,x0000_X,3825,18965,1963
1,x0001_X,3310,16637,1998
2,x0002_X,3303,13545,1680
3,x0003_X,3645,17651,1924
4,x0004_X,3140,13590,1415
5,x0005_X,2878,14538,1499
6,x0006_X,2830,14532,1553
7,x0007_X,2404,12562,1324
8,x0008_X,2763,14085,1488
9,x0009_X,2805,14559,1551
10,x0010_X,2238,12998,1417
11,x0011_X,2764,14324,1633
12,x0012_X,2590,12343,1357
13,x0013_X,2975,15504,1822
14,x0014_X,2539,11883,1331
15,x0015_X,2288,10971,1276
16,x0016_X,2149,12092,1335
17,x0017_X,1963,11025,1208
18,x0018_X,2581,12859,1396
19,x0019_X,2444,13111,1650
20,x0020_X,2104,10446,1145
21,x0021_X,3015,13808,1705
22,x0022_X,2569,14199,1760
23,x0023_X,2803,13673,1669
24,x0024_X,2840,13967,1914
25,x0025_X,3485,16959,2561
26,x0026_X,3185,16505,2255
27,x0027_X,3228,16250,2467
28,x0028_X,2971,16248,2102
29,x0029_X,2684,14067,1970
30,x0030_X,3123,17608,2489
31,x0031_X,3414,17919,2538
32,x0032_X,2803,14521,2179
33,x0033_X,2873,14801,2027
34,x0034_X,2819,18381,2453
35,x0035_X,2402,14194,1740
36,x0036_X,2777,17023,2145
37,x0037_X,2729,16769,2238
38,x0038_X,3750,21153,2827
39,x0039_X,3923,19665,2747
40,x0040_X,3739,18672,2789
41,x0041_X,3011,18098,2327
42,x0042_X,2695,15609,1997
43,x0043_X,3511,19422,2718
44,x0044_X,3587,18462,2704
45,x0045_X,3702,19088,2635
46,x0046_X,3246,17528,2662
47,x0047_X,3033,16563,2559
48,x0048_X,3738,18169,2624
49,x0049_X,3262,16009,2465
50,x0050_X,3477,19105,2843
51,x0051_X,4405,22987,3236
52,x0052_X,4165,20339,2991
53,x0053_X,3168,15657,2496
54,x0054_X,3711,18220,3045
55,x0055_X,3468,16968,2569
56,x0056_X,3792,19364,2950
57,x0057_X,3375,17837,2878
58,x0058_X,3716,18453,2807
59,x0059_X,3580,19584,3171
60,x0060_X,2885,16048,2388
61,x0061_X,3991,20826,3149
62,x0062_X,4156,21773,3232
63,x0063_X,3435,19344,2872
64,x0064_X,3518,17834,2738
65,x0065_X,3193,16648,2737
66,x0066_X,3285,18030,2556
67,x0067_X,4101,18724,3281
68,x0068_X,3937,19299,3099
69,x0069_X,3318,16305,2322
70,x0070_X,2948,17341,2502
71,x0071_X,2976,15921,2424
72,x0072_X,3015,15565,2535
73,x0073_X,2590,14439,2081
74,x0074_X,2626,15468,2006
75,x0075_X,3466,18641,2869
76,x0076_X,3485,19441,2952
77,x0077_X,3686,20609,2966
78,x0078_X,3179,17497,2760
79,x0079_X,3165,17029,2597
80,x0080_X,3391,18290,2629
81,x0081_X,3222,16985,2371
82,x0082_X,3714,20179,3135
83,x0083_X,3700,18542,2734
84,x0084_X,3773,19071,2807
85,x0085_X,3060,17008,2298
86,x0086_X,3445,18138,2727
87,x0087_X,2988,16975,2192
88,x0088_X,3979,18833,2839
89,x0089_X,3191,15203,2312
90,x0090_X,3377,16810,2604
91,x0091_X,2954,16219,2148
92,x0092_X,2753,14809,2139
93,x0093_X,2644,15447,2210
94,x0094_X,2671,14170,1880
95,x0095_X,2698,15979,2029
96,x0096_X,3089,16933,2133
97,x0097_X,2784,15667,1850
98,x0098_X,2896,16273,1946
99,x0099_X,2662,15689,1950
100,x0100_X,2702,17103,2140
101,x0101_X,2861,15911,2343
102,x0102_X,2855,14840,2205
103,x0103_X,2803,16519,2414
104,x0104_X,4162,23812,3151
105,x0105_X,3510,19844,2752
106,x0106_X,3851,21650,2940
107,x0107_X,3044,17125,2197
108,x0108_X,3286,17695,2239
109,x0109_X,3863,20257,2445
110,x0110_X,3230,16139,2159
111,x0111_X,3144,17276,2158
112,x0112_X,3260,18537,2293
113,x0113_X,3153,16587,2205
114,x0114_X,3533,19584,2308
115,x0115_X,3316,18929,2286
116,x0116_X,2791,15617,2095
117,x0117_X,2897,15479,1925
118,x0118_X,3011,16094,2216
119,x0119_X,3738,18611,2182
120,x0120_X,2726,13659,1570
121,x0121_X,3280,17395,2545
122,x0122_X,3018,14834,2048
123,x0123_X,3603,19837,2895
124,x0124_X,2823,17779,2189
125,x0125_X,2697,16994,2254
126,x0126_X,2805,17443,2118
127,x0127_X,2584,14783,1939
128,x0128_X,3245,17803,2172
129,x0129_X,3269,18141,2243
130,x0130_X,2938,17298,2342
131,x0131_X,3094,15416,1993
132,x0132_X,2999,16478,1844
133,x0133_X,2884,16334,1897
134,x0134_X,2617,14714,1975
135,x0135_X,2491,13484,1791
136,x0136_X,2742,14529,2035
137,x0137_X,2823,15291,1986
138,x0138_X,2629,14339,1753
139,x0139_X,2289,12893,1654
140,x0140_X,2420,11628,1705
141,x0141_X,2414,12756,1850
142,x0142_X,2985,14297,2419
143,x0143_X,2509,13445,2001
144,x0144_X,2791,13973,2151
145,x0145_X,3047,16611,2497
146,x0146_X,3286,16905,3029
147,x0147_X,3092,15270,2548
148,x0148_X,2796,15396,2311
149,x0149_X,2599,12928,2239
150,x0150_X,2560,12406,1870
151,x0151_X,2499,13340,1927
152,x0152_X,2870,16264,2602
153,x0153_X,2338,11862,1910
154,x0154_X,2072,12144,2074
155,x0155_X,2736,14767,2198
156,x0156_X,3183,15886,2667
157,x0157_X,2517,13287,2151
158,x0158_X,2502,11785,1823
159,x0159_X,2773,12618,2000
160,x0160_X,2817,13273,1865
161,x0161_X,2841,13874,2006
162,x0162_X,2927,14382,1801
163,x0163_X,2663,12580,1962
164,x0164_X,2400,12001,1889
165,x0165_X,2531,13038,2197
166,x0166_X,2908,13889,2118
167,x0167_X,2881,13831,2203
168,x0168_X,2489,12636,2080
169,x0169_X,2610,14049,2256
170,x0170_X,2914,16914,3177
171,x0171_X,2812,16600,2954
172,x0172_X,2769,14055,2877
173,x0173_X,2485,14458,2560
174,x0174_X,2866,14008,3226
175,x0175_X,2609,14852,2840
176,x0176_X,3187,16444,3160
177,x0177_X,2817,15288,3216
178,x0178_X,2800,15333,2777
179,x0179_X,2848,15133,2929
180,x0180_X,2621,14533,2946
181,x0181_X,2903,14706,3097
182,x0182_X,3131,15619,3405
183,x0183_X,2616,13413,2886
184,x0184_X,3298,16090,3832
185,x0185_X,3600,18209,4069
186,x0186_X,2619,13443,2853
187,x0187_X,4238,19149,3409
188,x0188_X,2878,15092,2533
189,x0189_X,3004,14802,2495
190,x0190_X,3686,18368,3146
191,x0191_X,3146,15503,2672
192,x0192_X,2951,14506,2844
193,x0193_X,2649,14071,2586
194,x0194_X,3037,15915,2784
195,x0195_X,3176,16272,2918
196,x0196_X,2895,14032,2576
197,x0197_X,3283,16873,2635
198,x0198_X,3474,17954,2882
199,x0199_X,3584,18470,2922
200,x0200_X,4259,20247,3224
201,x0201_X,3013,16524,2618
202,x0202_X,3340,18110,2860
203,x0203_X,3222,17807,2842
204,x0204_X,3710,20026,3292
205,x0205_X,2947,16681,2738
206,x0206_X,3799,19228,3308
207,x0207_X,3279,16153,3146
208,x0208_X,3245,16724,3036
209,x0209_X,3934,18937,3235
210,x0210_X,3033,15667,2828
211,x0211_X,3261,16219,2886
212,x0212_X,3480,17006,2734
213,x0213_X,3618,18292,2621
214,x0214_X,3107,16122,2716
215,x0215_X,3714,17742,2854
216,x0216_X,3683,18748,3447
217,x0217_X,3430,18301,3245
218,x0218_X,3210,16351,2805
219,x0219_X,3310,17142,2984
220,x0220_X,2954,15811,2763
221,x0221_X,3992,20622,3589
222,x0222_X,3693,20192,3376
223,x0223_X,3125,17921,3264
224,x0224_X,3841,19532,3423
225,x0225_X,3870,20644,3452
226,x0226_X,3978,19238,3580
227,x0227_X,3767,18686,2747
228,x0228_X,3700,19882,3214
229,x0229_X,3252,18634,2867
230,x0230_X,3603,18555,2595
231,x0231_X,3787,21342,3312
232,x0232_X,3931,19028,3147
233,x0233_X,4399,22058,3678
234,x0234_X,4179,21660,3564
235,x0235_X,4122,21269,3289
236,x0236_X,3801,18737,2887
237,x0237_X,3644,18006,2660
238,x0238_X,3820,19301,2985
239,x0239_X,3693,19108,2850
240,x0240_X,3378,18267,2886
241,x0241_X,3444,17835,2811
242,x0242_X,3407,17045,2768
243,x0243_X,3339,17128,2753
244,x0244_X,3444,17320,3107
245,x0245_X,2959,16306,2680
246,x0246_X,2848,15641,2626
247,x0247_X,3707,18168,3325
248,x0248_X,3066,16951,2774
249,x0249_X,3423,17765,2902
250,x0250_X,3846,19558,3161
