,protid,P,S,C
0,x0000_X,8368,57635,3748
1,x0001_X,5431,34026,2159
2,x0002_X,5914,32572,2269
3,x0003_X,5689,33108,2244
4,x0004_X,5372,38203,2178
5,x0005_X,5520,38548,2292
6,x0006_X,4953,37563,2334
7,x0007_X,4809,33848,2384
8,x0008_X,4427,32439,2194
9,x0009_X,4640,34205,2771
10,x0010_X,5687,40130,3011
11,x0011_X,6492,45464,3655
12,x0012_X,6356,47573,3362
13,x0013_X,6538,46134,3944
14,x0014_X,7615,44478,3852
15,x0015_X,8421,47542,4415
16,x0016_X,8691,44087,4175
17,x0017_X,9854,45690,4834
18,x0018_X,9310,55343,5098
19,x0019_X,9742,56382,5129
20,x0020_X,11158,51959,4779
21,x0021_X,9819,63531,5653
22,x0022_X,10524,66213,5884
23,x0023_X,10429,64366,5806
24,x0024_X,11710,60892,6799
25,x0025_X,9860,52661,5375
26,x0026_X,10696,59727,6213
27,x0027_X,9853,50461,5389
28,x0028_X,11896,55167,5708
29,x0029_X,11461,54000,5415
30,x0030_X,9770,48863,5270
31,x0031_X,10879,54797,5200
32,x0032_X,10342,51621,4832
33,x0033_X,10083,49684,4853
34,x0034_X,10577,51978,4606
35,x0035_X,10181,54369,4828
36,x0036_X,11236,62628,5139
37,x0037_X,9970,58623,6098
38,x0038_X,11833,59588,6000
39,x0039_X,9797,57899,5840
40,x0040_X,10230,59766,6640
41,x0041_X,11085,61151,6370
42,x0042_X,11410,71592,7523
43,x0043_X,11492,57485,6101
44,x0044_X,12586,58502,5940
45,x0045_X,11351,60867,5992
46,x0046_X,11482,64586,6553
47,x0047_X,8900,52313,5217
48,x0048_X,10487,59907,5851
49,x0049_X,9661,52777,5827
50,x0050_X,10829,57931,6318
51,x0051_X,10096,53388,5151
52,x0052_X,9341,51320,4680
53,x0053_X,12302,59411,6102
54,x0054_X,10951,58231,5896
55,x0055_X,11816,60386,6404
56,x0056_X,11629,53222,6025
57,x0057_X,12688,59085,6437
58,x0058_X,11593,61525,6283
59,x0059_X,13446,65827,6632
60,x0060_X,12025,57497,5944
61,x0061_X,11374,55048,5209
62,x0062_X,12939,57313,5993
63,x0063_X,13158,57832,6038
64,x0064_X,13209,56100,6546
65,x0065_X,12892,62418,6500
66,x0066_X,11008,50225,5197
67,x0067_X,12038,53974,5619
68,x0068_X,11252,51272,5004
69,x0069_X,11084,51088,5356
70,x0070_X,12091,58858,6079
71,x0071_X,13009,59208,5993
72,x0072_X,11291,55667,5432
73,x0073_X,11742,55892,5519
74,x0074_X,13532,50839,5380
75,x0075_X,10843,51526,4792
76,x0076_X,12643,59381,5397
77,x0077_X,11532,50088,5175
78,x0078_X,10673,50273,5484
79,x0079_X,10922,46250,4956
80,x0080_X,11520,46283,5387
81,x0081_X,10670,47427,5449
82,x0082_X,9837,51969,4989
83,x0083_X,11726,49863,5206
84,x0084_X,8987,43590,4714
85,x0085_X,10416,45538,5121
86,x0086_X,10636,50038,5392
87,x0087_X,10346,47231,4904
88,x0088_X,12404,56873,5801
89,x0089_X,13158,55959,6349
90,x0090_X,12000,60542,6859
91,x0091_X,11740,57928,6187
92,x0092_X,10813,51913,5539
93,x0093_X,10991,52249,5766
94,x0094_X,10344,53622,5040
95,x0095_X,10737,52459,5069
96,x0096_X,12129,57210,6906
97,x0097_X,10645,55534,6211
98,x0098_X,10672,56815,5284
99,x0099_X,13056,65326,6696
100,x0100_X,11669,57206,5430
101,x0101_X,14104,70808,6466
102,x0102_X,10826,57807,5287
103,x0103_X,10883,59585,5387
104,x0104_X,10430,56172,5408
105,x0105_X,11549,60032,5447
106,x0106_X,11807,66239,6209
107,x0107_X,11001,60017,5618
108,x0108_X,12299,66280,6499
109,x0109_X,12706,66930,6269
110,x0110_X,11082,56875,5579
111,x0111_X,12192,63348,5866
112,x0112_X,12844,63284,5682
113,x0113_X,11727,61310,5569
114,x0114_X,11245,58884,6116
115,x0115_X,11281,57091,6319
116,x0116_X,12453,62251,6702
117,x0117_X,12216,64422,6390
118,x0118_X,13056,68345,7430
119,x0119_X,12970,60238,6592
120,x0120_X,11492,60189,6134
121,x0121_X,14570,71440,7951
122,x0122_X,12733,66739,6433
123,x0123_X,11150,58702,6003
124,x0124_X,12123,59340,6352
125,x0125_X,12368,53016,6626
126,x0126_X,13596,61902,6717
127,x0127_X,10424,55507,6079
128,x0128_X,12308,59205,5908
129,x0129_X,12422,62871,6113
130,x0130_X,11706,59571,6144
131,x0131_X,10742,54640,5871
132,x0132_X,11093,58691,6071
133,x0133_X,11949,60290,6367
134,x0134_X,12315,59535,6360
135,x0135_X,11336,57015,5954
136,x0136_X,12027,58046,6172
137,x0137_X,12304,59047,6070
138,x0138_X,12219,62520,6667
139,x0139_X,12244,56752,6082
140,x0140_X,10652,52861,5493
141,x0141_X,11244,52448,5686
142,x0142_X,11992,55148,6013
143,x0143_X,10520,53298,6307
144,x0144_X,9757,52013,5391
145,x0145_X,11750,55550,6236
146,x0146_X,12159,57831,6646
147,x0147_X,11892,59401,6522
148,x0148_X,11320,46888,6053
149,x0149_X,10465,54355,6056
150,x0150_X,12132,53436,6442
151,x0151_X,11965,55470,7256
152,x0152_X,11341,53550,5985
153,x0153_X,9521,46744,4810
154,x0154_X,9811,51014,5241
155,x0155_X,11836,56906,5949
156,x0156_X,10122,49050,5448
157,x0157_X,11237,53809,5079
158,x0158_X,10891,56104,5776
159,x0159_X,10958,53393,5400
160,x0160_X,10485,56138,6148
161,x0161_X,11216,53693,5967
162,x0162_X,11094,53234,6172
163,x0163_X,12351,55204,6365
164,x0164_X,11867,49151,6143
165,x0165_X,11927,55847,6917
166,x0166_X,11644,48860,5926
167,x0167_X,11997,58607,7211
168,x0168_X,13536,61233,7852
169,x0169_X,11446,55000,6325
170,x0170_X,10682,56237,5852
171,x0171_X,11030,50898,5968
172,x0172_X,11864,56425,6789
173,x0173_X,11658,58951,6419
174,x0174_X,12243,59003,6964
175,x0175_X,11597,54837,6719
176,x0176_X,11649,51087,6270
177,x0177_X,12909,57926,7375
178,x0178_X,12678,55464,7713
179,x0179_X,11628,54843,6682
180,x0180_X,12365,63055,7608
181,x0181_X,12292,58775,6748
182,x0182_X,14237,64375,8124
183,x0183_X,11852,58232,6944
184,x0184_X,10399,54839,6393
185,x0185_X,12093,57467,7076
186,x0186_X,11533,58469,7419
187,x0187_X,12211,53929,7013
188,x0188_X,11966,58520,6935
189,x0189_X,12990,63223,7223
190,x0190_X,13034,62136,7451
191,x0191_X,12516,59990,7694
192,x0192_X,11202,51429,6375
193,x0193_X,13335,59533,6932
194,x0194_X,11407,57413,6646
195,x0195_X,10849,56380,6691
196,x0196_X,11474,58250,6912
197,x0197_X,12987,63208,7650
198,x0198_X,12083,58814,7313
199,x0199_X,12881,58774,7348
200,x0200_X,11790,53467,6374
201,x0201_X,12465,64425,6546
202,x0202_X,11923,54417,7196
203,x0203_X,12115,56713,7027
204,x0204_X,11726,56251,6328
205,x0205_X,10945,53215,6340
206,x0206_X,13044,62213,7364
207,x0207_X,11839,64364,8052
208,x0208_X,12619,56424,6812
209,x0209_X,11201,55626,5944
210,x0210_X,11801,63017,7397
211,x0211_X,11880,62546,6980
212,x0212_X,10683,53298,6144
213,x0213_X,10612,51370,6283
214,x0214_X,10803,56061,6289
215,x0215_X,12349,56231,6886
216,x0216_X,11256,58195,6404
217,x0217_X,11289,55555,5927
218,x0218_X,10399,52355,5881
219,x0219_X,12987,61117,7706
220,x0220_X,11772,53096,6385
221,x0221_X,12087,56755,7013
222,x0222_X,10134,55048,6071
223,x0223_X,11426,54033,6172
224,x0224_X,11471,57538,6069
225,x0225_X,11895,61075,6431
226,x0226_X,12689,63918,6829
227,x0227_X,11712,60727,6167
228,x0228_X,11812,58032,6401
229,x0229_X,11447,59138,6836
230,x0230_X,11474,55977,6854
231,x0231_X,14275,62011,7969
232,x0232_X,7880,46511,5294
233,x0233_X,11941,58659,6428
234,x0234_X,11426,57096,6944
235,x0235_X,11051,56207,6278
236,x0236_X,12264,57553,7604
237,x0237_X,11994,55282,6644
238,x0238_X,10397,50683,6081
239,x0239_X,10652,54979,6379
240,x0240_X,10164,49241,5575
241,x0241_X,13500,63446,8132
242,x0242_X,11887,57496,7253
243,x0243_X,10569,53036,6146
244,x0244_X,10710,52514,6527
245,x0245_X,12935,60264,7402
246,x0246_X,11466,55349,5956
247,x0247_X,12290,58168,6570
248,x0248_X,10239,46434,5455
249,x0249_X,10868,51297,6841
250,x0250_X,11290,54469,5117
251,x0251_X,10876,50592,6060
252,x0252_X,12291,53419,6300
253,x0253_X,11501,55808,5844
254,x0254_X,10547,57379,6765
255,x0255_X,11026,50217,5918
256,x0256_X,9733,47809,4939
257,x0257_X,9568,48616,5362
258,x0258_X,11093,54048,5735
259,x0259_X,9975,46917,5236
260,x0260_X,10216,48706,5698
261,x0261_X,10790,55245,5975
262,x0262_X,9429,45640,4962
263,x0263_X,11101,51141,6023
264,x0264_X,10899,52991,5488
265,x0265_X,11268,54490,6252
266,x0266_X,14357,56938,6520
267,x0267_X,10616,49846,5968
268,x0268_X,9493,51051,5159
269,x0269_X,11265,53583,6405
270,x0270_X,11418,55855,6647
271,x0271_X,11417,56076,6812
272,x0272_X,10864,56698,6358
273,x0273_X,11637,57151,6678
274,x0274_X,11412,58582,6642
275,x0275_X,10614,44655,5457
276,x0276_X,9877,47537,5421
277,x0277_X,10881,54884,6245
278,x0278_X,10493,55431,6466
279,x0279_X,10082,51604,5475
280,x0280_X,10358,48066,5479
281,x0281_X,10508,55581,6301
282,x0282_X,10431,53999,6070
283,x0283_X,11846,48950,6365
284,x0284_X,11514,57680,6661
285,x0285_X,10512,53016,6223
286,x0286_X,11032,53028,6065
287,x0287_X,11020,55502,6249
288,x0288_X,12691,60717,6792
289,x0289_X,10408,49146,5426
290,x0290_X,11364,52368,6019
291,x0291_X,12279,58759,7172
292,x0292_X,10764,52772,5842
293,x0293_X,9412,48088,5690
294,x0294_X,10587,48844,5549
295,x0295_X,12481,61516,7006
296,x0296_X,10802,58558,6495
297,x0297_X,10579,51873,5813
298,x0298_X,11263,53708,6282
299,x0299_X,10642,50658,5861
300,x0300_X,9849,47087,5192
301,x0301_X,11147,54841,5643
302,x0302_X,9838,45946,4594
303,x0303_X,10120,49960,5261
304,x0304_X,11082,53142,6276
305,x0305_X,12646,58916,6253
306,x0306_X,10932,55773,5305
307,x0307_X,11449,51742,5444
308,x0308_X,11735,55294,6124
309,x0309_X,11385,54132,5736
310,x0310_X,12001,50530,6104
311,x0311_X,12304,59244,6267
312,x0312_X,11446,55451,5874
313,x0313_X,10972,51844,5449
314,x0314_X,10952,55028,6030
315,x0315_X,11571,55325,5875
316,x0316_X,11384,56796,6125
317,x0317_X,11872,53673,6465
318,x0318_X,11117,51576,5942
319,x0319_X,10714,57353,5853
320,x0320_X,11321,57020,5964
321,x0321_X,13080,59474,6847
322,x0322_X,11601,57359,6506
323,x0323_X,10980,59988,6060
324,x0324_X,10801,55900,6070
325,x0325_X,10899,56368,6269
326,x0326_X,11800,59547,7259
327,x0327_X,11794,53057,5649
328,x0328_X,13429,66532,6775
329,x0329_X,11449,60054,6312
330,x0330_X,14251,61313,7872
331,x0331_X,12383,54916,5854
332,x0332_X,12428,59282,6500
333,x0333_X,12599,57784,6253
334,x0334_X,12902,55031,6372
335,x0335_X,12003,58533,6492
336,x0336_X,11321,51570,6487
337,x0337_X,14793,66754,8553
338,x0338_X,13985,59194,7824
339,x0339_X,12711,57433,7277
340,x0340_X,11824,53442,7887
341,x0341_X,15410,63587,8574
342,x0342_X,15785,60861,9674
343,x0343_X,13284,53832,8350
344,x0344_X,15214,64039,10423
345,x0345_X,17483,69249,10729
346,x0346_X,16976,68008,11157
347,x0347_X,14646,64992,10038
348,x0348_X,15546,66838,10281
349,x0349_X,13841,56923,10642
350,x0350_X,15600,70232,11188
351,x0351_X,15310,68336,12057
352,x0352_X,16070,69771,12062
353,x0353_X,15415,67531,11449
354,x0354_X,15253,65182,12230
355,x0355_X,15666,68990,11485
356,x0356_X,16239,72042,12744
357,x0357_X,17118,69907,12210
358,x0358_X,16033,68971,12457
359,x0359_X,15038,62728,11487
360,x0360_X,16175,66786,12305
361,x0361_X,15742,66496,13028
362,x0362_X,17182,71398,12895
363,x0363_X,15544,67530,11756
364,x0364_X,14828,66436,12697
365,x0365_X,18664,76250,15301
366,x0366_X,15253,64124,13288
367,x0367_X,16635,65521,13547
368,x0368_X,17792,71405,13181
369,x0369_X,16314,69477,12999
370,x0370_X,18197,74183,13650
371,x0371_X,14563,62999,11269
372,x0372_X,17584,73190,13879
373,x0373_X,14990,67077,12763
374,x0374_X,15561,65475,12492
375,x0375_X,17745,80250,13161
376,x0376_X,15857,67169,12677
377,x0377_X,16905,73405,13430
378,x0378_X,16288,67799,12054
379,x0379_X,17498,69825,13253
380,x0380_X,15638,68584,12358
381,x0381_X,16455,68129,12877
382,x0382_X,16510,72993,12875
383,x0383_X,15154,68927,12060
384,x0384_X,17649,70408,14321
385,x0385_X,17012,72617,12749
386,x0386_X,14160,63993,10678
387,x0387_X,15872,64959,12697
388,x0388_X,17174,69217,12399
389,x0389_X,15819,69421,12663
390,x0390_X,16549,72015,12012
391,x0391_X,15831,66498,12066
392,x0392_X,18266,76097,12590
393,x0393_X,17538,72138,12250
394,x0394_X,17384,76593,12053
395,x0395_X,15799,68560,11344
396,x0396_X,14348,60526,11031
397,x0397_X,14024,61736,10560
398,x0398_X,14872,63149,10810
399,x0399_X,15834,59104,12215
400,x0400_X,17242,64511,14388
401,x0401_X,16727,65675,13739
402,x0402_X,16305,68372,13226
403,x0403_X,15608,60530,10598
404,x0404_X,15673,59553,10679
405,x0405_X,12543,55955,8530
406,x0406_X,13346,59442,9833
407,x0407_X,16007,64781,11877
408,x0408_X,15146,65009,9945
409,x0409_X,17754,69909,12913
410,x0410_X,15049,62227,11134
411,x0411_X,16702,65538,13026
412,x0412_X,14342,61924,11305
413,x0413_X,16631,67997,12833
414,x0414_X,17529,74869,12713
415,x0415_X,15818,65546,12597
416,x0416_X,15863,61901,11912
417,x0417_X,15396,60237,11520
418,x0418_X,15976,66713,11706
419,x0419_X,16904,69588,12298
420,x0420_X,17502,69840,13234
421,x0421_X,15661,70217,12025
422,x0422_X,15832,67722,12149
423,x0423_X,17285,69622,13221
424,x0424_X,15142,67542,11711
425,x0425_X,15442,58853,12858
426,x0426_X,15440,62399,12686
427,x0427_X,18556,73107,15290
428,x0428_X,15541,62987,11572
429,x0429_X,16530,67217,13273
430,x0430_X,15270,63083,12172
431,x0431_X,17074,68460,12369
432,x0432_X,16394,66499,13248
433,x0433_X,15999,62223,11031
434,x0434_X,18115,71392,13778
435,x0435_X,18273,65758,14759
436,x0436_X,18057,71863,13820
437,x0437_X,20257,74901,14120
438,x0438_X,16707,64612,11346
