,protid,P,S,C
187,x0187_X,12578,20366,6396
188,x0188_X,14141,22081,6264
189,x0189_X,14020,20874,6147
190,x0190_X,15332,27175,7263
191,x0191_X,14869,30974,6807
192,x0192_X,16596,28302,7752
193,x0193_X,15888,24234,7464
194,x0194_X,15810,25642,7376
195,x0195_X,15523,25685,6997
196,x0196_X,14784,24232,5834
197,x0197_X,12852,24160,5766
198,x0198_X,13560,26421,6990
199,x0199_X,12847,22047,6434
200,x0200_X,14379,25173,6808
201,x0201_X,16717,26908,6778
202,x0202_X,16601,25860,8579
203,x0203_X,15895,25842,6779
204,x0204_X,13950,22957,7644
205,x0205_X,14759,26732,7025
206,x0206_X,14737,25545,7923
207,x0207_X,16731,24869,6916
208,x0208_X,16678,27017,8308
209,x0209_X,15070,23835,7151
210,x0210_X,16184,24975,7982
211,x0211_X,15576,23993,7709
212,x0212_X,15990,26143,7637
213,x0213_X,16396,24974,8400
214,x0214_X,14019,19657,6794
215,x0215_X,16147,28385,7471
216,x0216_X,17071,25052,7647
217,x0217_X,16694,25306,8403
218,x0218_X,15476,22391,6684
219,x0219_X,16614,25488,7353
220,x0220_X,16596,25009,6600
221,x0221_X,17461,26074,8146
222,x0222_X,15740,25304,7161
223,x0223_X,15045,25604,6937
224,x0224_X,13959,22566,6253
225,x0225_X,16872,24632,7324
226,x0226_X,18238,25700,8712
227,x0227_X,14908,23610,6933
228,x0228_X,16446,26334,7623
229,x0229_X,16763,21571,7722
230,x0230_X,17290,25758,8312
231,x0231_X,17069,25501,7516
232,x0232_X,17838,24598,8285
233,x0233_X,16271,26588,8822
234,x0234_X,17776,24281,8664
235,x0235_X,16978,23049,7868
236,x0236_X,16846,24131,7851
237,x0237_X,18336,23555,8195
238,x0238_X,17800,24466,7820
239,x0239_X,17486,25441,7794
240,x0240_X,14536,20617,6752
241,x0241_X,14807,20665,7014
242,x0242_X,16486,24180,6612
243,x0243_X,18365,28013,7907
244,x0244_X,16798,24425,7918
245,x0245_X,16665,24363,6867
246,x0246_X,16165,24764,7276
247,x0247_X,17294,23114,7487
248,x0248_X,18700,23254,7816
249,x0249_X,16025,21890,6636
250,x0250_X,17539,24288,8259
251,x0251_X,18767,25281,7955
252,x0252_X,16701,24318,7186
253,x0253_X,18554,29438,8961
254,x0254_X,15526,21789,7236
255,x0255_X,20119,29057,9820
256,x0256_X,15996,23976,7923
257,x0257_X,18191,25481,8331
258,x0258_X,17203,23058,7634
259,x0259_X,17443,23857,7528
260,x0260_X,18694,24468,7559
261,x0261_X,18857,26132,8312
262,x0262_X,15654,24149,7168
263,x0263_X,15102,21334,6635
264,x0264_X,18090,22290,7515
265,x0265_X,18215,24361,7827
266,x0266_X,14253,20699,6953
267,x0267_X,17827,27764,8037
268,x0268_X,14614,20588,6993
269,x0269_X,15231,24338,6791
270,x0270_X,14218,23072,6666
271,x0271_X,15722,22798,7233
272,x0272_X,15375,26008,7445
273,x0273_X,17600,24943,7543
274,x0274_X,17696,26433,7552
275,x0275_X,14221,22179,6378
276,x0276_X,17523,23930,7688
277,x0277_X,16868,22605,8113
278,x0278_X,17945,24999,8416
279,x0279_X,16141,27156,7424
280,x0280_X,17966,24511,7926
281,x0281_X,15440,24432,7099
282,x0282_X,17184,26099,7757
283,x0283_X,18276,24613,7832
284,x0284_X,19782,26821,9008
285,x0285_X,17847,23541,8382
286,x0286_X,17882,24903,8575
287,x0287_X,17670,23078,7768
288,x0288_X,17715,24460,7280
289,x0289_X,16064,22177,7512
290,x0290_X,16603,22525,6928
291,x0291_X,16644,20625,6984
292,x0292_X,15606,21929,7016
293,x0293_X,15789,23497,7074
294,x0294_X,16342,21629,7782
295,x0295_X,17394,24797,8212
296,x0296_X,18000,23932,8154
297,x0297_X,15636,22917,7503
298,x0298_X,16391,26235,7144
299,x0299_X,15175,21664,6821
300,x0300_X,14912,20151,6265
301,x0301_X,16820,22508,8258
302,x0302_X,18773,22135,8233
303,x0303_X,19370,21544,8227
304,x0304_X,21296,26384,8936
305,x0305_X,18621,23941,8159
306,x0306_X,18184,23637,8582
307,x0307_X,18328,24240,7518
308,x0308_X,16377,23682,6606
309,x0309_X,20640,26501,9139
310,x0310_X,18956,24270,8134
311,x0311_X,18895,26397,8664
312,x0312_X,19365,25110,7851
313,x0313_X,18843,22736,7562
314,x0314_X,19214,26026,8716
315,x0315_X,17944,21655,7987
316,x0316_X,18280,25930,9091
317,x0317_X,17211,22884,7800
318,x0318_X,16756,25576,7754
319,x0319_X,17462,22258,8485
320,x0320_X,18214,25917,8844
321,x0321_X,17255,23300,7031
322,x0322_X,16949,20960,7241
323,x0323_X,18081,24344,9256
324,x0324_X,14447,19451,6288
325,x0325_X,16670,21037,8046
326,x0326_X,17285,20120,7745
327,x0327_X,17824,24269,7677
328,x0328_X,16521,21913,7622
329,x0329_X,15611,21208,7732
330,x0330_X,16687,20990,7173
331,x0331_X,14013,20512,6803
332,x0332_X,13661,19071,7171
333,x0333_X,13996,19760,6147
334,x0334_X,15806,22576,7069
335,x0335_X,13301,18732,7027
336,x0336_X,14937,21456,7563
