,protid,P,S,C
0,x0000_ ,4154,10767,2470
1,x0001_ ,4560,8407,2258
2,x0002_ ,3330,9477,1899
3,x0003_ ,3675,10118,2497
4,x0004_ ,3390,6554,2459
5,x0005_ ,3084,6689,2630
6,x0006_ ,3075,7710,2745
7,x0007_ ,4067,8641,2868
8,x0008_ ,3773,8991,3167
9,x0009_ ,2885,8272,2373
10,x0010_ ,3509,12213,2999
11,x0011_ ,3445,11249,2884
12,x0012_ ,2958,7556,2689
13,x0013_ ,3521,11296,3138
14,x0014_ ,2753,8544,2398
15,x0015_ ,3167,11096,2757
16,x0016_ ,3154,9157,2567
17,x0017_ ,2739,8814,2142
18,x0018_ ,3452,8325,3101
19,x0019_ ,2941,9694,2590
20,x0020_ ,2830,7861,3004
21,x0021_ ,3077,9623,2876
22,x0022_ ,3426,11715,3195
23,x0023_ ,3160,10548,2945
24,x0024_ ,3052,11674,2852
25,x0025_ ,3514,16607,3315
26,x0026_ ,3294,12683,3133
27,x0027_ ,3820,11869,3617
28,x0028_ ,3387,13000,3116
29,x0029_ ,3878,11869,3168
30,x0030_ ,3210,10138,2405
31,x0031_ ,3160,9402,2489
32,x0032_ ,2663,8535,2005
33,x0033_ ,3120,11407,2493
34,x0034_ ,2880,11891,2434
35,x0035_ ,3222,11083,2348
36,x0036_ ,2988,10826,2476
37,x0037_ ,4301,13547,3062
38,x0038_ ,3247,11708,2623
39,x0039_ ,3746,12013,2962
40,x0040_ ,3934,13472,3300
41,x0041_ ,3644,12003,3074
42,x0042_ ,3545,13072,2689
43,x0043_ ,3807,12298,3005
44,x0044_ ,3511,11560,2695
45,x0045_ ,3838,13071,3594
46,x0046_ ,4600,15700,4231
47,x0047_ ,3362,11082,2947
48,x0048_ ,3862,13118,3523
49,x0049_ ,3086,12320,2930
50,x0050_ ,3644,14433,3451
51,x0051_ ,4404,15460,3789
52,x0052_ ,3644,13225,3031
53,x0053_ ,3588,14902,3455
54,x0054_ ,4008,12064,3828
55,x0055_ ,3610,13364,3126
56,x0056_ ,3427,13388,3085
