,protid,P,S,C
0,x0000_ ,174,762,99
1,x0001_ ,404,1332,280
2,x0002_ ,354,1220,196
3,x0003_ ,486,1630,299
4,x0004_ ,444,1444,257
5,x0005_ ,407,1398,211
6,x0006_ ,374,1242,214
7,x0007_ ,327,1088,181
8,x0008_ ,515,1403,227
9,x0009_ ,390,1266,235
10,x0010_ ,698,1401,247
11,x0011_ ,372,1495,213
12,x0012_ ,972,1508,295
13,x0013_ ,1424,2010,482
14,x0014_ ,1357,2121,438
15,x0015_ ,1380,1879,482
16,x0016_ ,1567,2233,478
17,x0017_ ,1586,2044,465
18,x0018_ ,1899,2083,578
19,x0019_ ,1830,2312,611
20,x0020_ ,1872,2352,627
21,x0021_ ,1429,2055,521
22,x0022_ ,1668,2130,573
23,x0023_ ,1561,2185,532
24,x0024_ ,1593,2023,570
25,x0025_ ,1524,2108,554
26,x0026_ ,1599,2157,615
27,x0027_ ,1918,2336,696
28,x0028_ ,1760,2227,669
29,x0029_ ,1838,2319,694
30,x0030_ ,1628,1916,551
31,x0031_ ,1800,2298,655
32,x0032_ ,1782,2131,647
33,x0033_ ,2131,2348,672
34,x0034_ ,1627,2001,558
35,x0035_ ,1835,2281,637
36,x0036_ ,1844,2125,687
37,x0037_ ,1923,2437,690
38,x0038_ ,1751,2312,690
39,x0039_ ,1934,2242,675
40,x0040_ ,1759,2215,682
41,x0041_ ,1763,2304,686
42,x0042_ ,1938,2319,693
43,x0043_ ,2109,2552,799
44,x0044_ ,1865,2036,564
45,x0045_ ,1996,2506,751
46,x0046_ ,1715,2393,645
47,x0047_ ,1725,2223,612
48,x0048_ ,1668,2289,699
49,x0049_ ,1725,2217,618
50,x0050_ ,1721,2148,596
51,x0051_ ,1789,2285,679
52,x0052_ ,1857,2058,645
53,x0053_ ,1899,2372,679
54,x0054_ ,1860,2199,694
55,x0055_ ,1963,2209,679
56,x0056_ ,1867,2220,666
57,x0057_ ,1832,2231,690
58,x0058_ ,2071,2258,721
59,x0059_ ,1932,2472,747
60,x0060_ ,1875,2447,728
61,x0061_ ,1574,1984,537
62,x0062_ ,1657,1994,535
63,x0063_ ,1500,2106,489
64,x0064_ ,1718,2031,529
65,x0065_ ,1664,2379,517
66,x0066_ ,1572,2034,489
67,x0067_ ,1543,1886,487
68,x0068_ ,1824,2051,496
69,x0069_ ,1592,2000,503
70,x0070_ ,1790,2243,527
71,x0071_ ,1462,2048,495
72,x0072_ ,1611,2097,478
73,x0073_ ,1684,2174,513
74,x0074_ ,1722,2115,534
75,x0075_ ,1583,1882,451
76,x0076_ ,1794,2313,549
77,x0077_ ,1803,2179,578
78,x0078_ ,1730,2020,621
79,x0079_ ,2008,2200,643
80,x0080_ ,1778,2164,618
81,x0081_ ,1802,2085,578
82,x0082_ ,1607,2184,580
83,x0083_ ,1626,2045,515
84,x0084_ ,1914,1986,660
85,x0085_ ,1778,2117,570
86,x0086_ ,1776,2338,639
87,x0087_ ,1717,2135,613
88,x0088_ ,1910,2345,596
89,x0089_ ,1694,2312,554
90,x0090_ ,1850,2163,643
91,x0091_ ,1623,2092,563
92,x0092_ ,1572,1980,453
93,x0093_ ,1686,1979,613
94,x0094_ ,1750,2143,572
95,x0095_ ,1896,2197,660
96,x0096_ ,1815,2262,579
97,x0097_ ,1759,2121,585
98,x0098_ ,1885,2207,661
99,x0099_ ,1725,2048,598
100,x0100_ ,1798,2151,611
101,x0101_ ,2004,2188,659
102,x0102_ ,1800,2195,661
103,x0103_ ,1835,2179,642
104,x0104_ ,1953,2266,632
105,x0105_ ,2202,2475,783
106,x0106_ ,1755,2047,569
107,x0107_ ,1928,2230,693
108,x0108_ ,2028,2333,689
109,x0109_ ,1875,2111,574
110,x0110_ ,1763,2158,639
111,x0111_ ,1891,2070,599
112,x0112_ ,1742,2205,613
113,x0113_ ,1787,2368,696
114,x0114_ ,1850,2278,625
115,x0115_ ,1539,2061,495
116,x0116_ ,1756,2259,641
117,x0117_ ,1730,2175,655
118,x0118_ ,2096,2052,703
119,x0119_ ,1913,2310,628
120,x0120_ ,1985,2265,700
121,x0121_ ,2024,2413,714
122,x0122_ ,1692,2397,567
123,x0123_ ,1847,2088,625
124,x0124_ ,1919,2246,588
125,x0125_ ,2095,2337,719
126,x0126_ ,1878,2087,595
127,x0127_ ,1899,2137,620
128,x0128_ ,2025,2265,760
129,x0129_ ,1922,2371,657
130,x0130_ ,2002,2316,732
131,x0131_ ,2285,2550,836
132,x0132_ ,2276,2436,748
133,x0133_ ,2114,2351,788
134,x0134_ ,1999,2269,682
135,x0135_ ,2255,2519,791
136,x0136_ ,2210,2229,712
137,x0137_ ,2013,2236,701
138,x0138_ ,1960,2466,725
