,protid,P,S,C
0,x0000_X,1951,9241,898
1,x0001_X,2413,9210,938
2,x0002_X,2209,7772,897
3,x0003_X,2445,8005,875
4,x0004_X,2030,7620,790
5,x0005_X,2115,7382,799
6,x0006_X,2040,7500,900
7,x0007_X,3236,11063,1454
8,x0008_X,2358,8268,1155
9,x0009_X,2747,9943,1675
10,x0010_X,2936,10213,1729
11,x0011_X,2509,10215,1472
12,x0012_X,2968,10602,1481
13,x0013_X,3912,12795,2014
14,x0014_X,3539,13148,2034
15,x0015_X,2177,8788,1125
16,x0016_X,2439,8523,973
17,x0017_X,3547,11415,1691
18,x0018_X,3404,10916,1611
19,x0019_X,3193,11016,1544
20,x0020_X,3203,10196,1652
21,x0021_X,3373,10671,1709
22,x0022_X,2705,9524,1301
23,x0023_X,2796,9684,1548
24,x0024_X,3393,10341,1666
25,x0025_X,2447,7624,1405
26,x0026_X,2984,10408,1659
27,x0027_X,3715,12144,2286
28,x0028_X,3586,11581,2224
29,x0029_X,3437,11081,1953
30,x0030_X,3940,14522,2244
31,x0031_X,4227,14252,2431
32,x0032_X,4386,14928,2631
33,x0033_X,4406,15783,2816
34,x0034_X,3623,13867,2410
35,x0035_X,4470,16188,2995
36,x0036_X,5111,18256,3198
37,x0037_X,4138,15755,2473
38,x0038_X,3814,15826,2305
39,x0039_X,4623,16476,2554
40,x0040_X,5344,20334,3242
41,x0041_X,5280,21206,3404
42,x0042_X,3686,15004,2425
43,x0043_X,4038,16560,2193
44,x0044_X,4284,16828,2541
45,x0045_X,3018,12175,2012
46,x0046_X,4522,16368,3200
47,x0047_X,4019,16152,2620
48,x0048_X,4508,17071,2511
49,x0049_X,4112,14850,2983
50,x0050_X,3790,14096,2415
51,x0051_X,5461,18268,3299
52,x0052_X,4749,19427,3319
53,x0053_X,4649,17106,2998
54,x0054_X,4974,16926,3300
55,x0055_X,5975,19261,3444
56,x0056_X,4405,15076,2674
57,x0057_X,4687,17259,3030
58,x0058_X,4497,15743,2765
59,x0059_X,4236,14941,2768
60,x0060_X,4485,15738,2997
61,x0061_X,3916,13690,2695
62,x0062_X,4695,16194,2547
63,x0063_X,3803,14367,2536
64,x0064_X,3199,15231,2480
65,x0065_X,3299,12934,2295
66,x0066_X,4353,17684,2939
67,x0067_X,4585,18014,3052
68,x0068_X,3937,17049,2885
69,x0069_X,3226,14786,2491
70,x0070_X,4116,16528,2576
71,x0071_X,3256,14506,2338
72,x0072_X,3325,14261,2514
73,x0073_X,3105,12750,2100
74,x0074_X,4217,16935,2938
