,protid,P,S,C
0,x0000_ ,3625,9643,2132
1,x0001_ ,4034,7854,1973
2,x0002_ ,2483,5821,1287
3,x0003_ ,2886,5763,1362
4,x0004_ ,2621,5666,1443
5,x0005_ ,2941,5993,1506
6,x0006_ ,3109,6426,1640
7,x0007_ ,2721,6492,1227
8,x0008_ ,4467,7508,1886
9,x0009_ ,4222,6304,1720
10,x0010_ ,3854,6098,1373
11,x0011_ ,3603,5484,1353
12,x0012_ ,3747,5460,1378
13,x0013_ ,3210,4798,1308
14,x0014_ ,3871,5676,1331
15,x0015_ ,3591,4448,1552
16,x0016_ ,3632,3637,1377
17,x0017_ ,3427,4226,1392
18,x0018_ ,4144,3642,1259
19,x0019_ ,4254,4661,1381
20,x0020_ ,4429,4463,1261
21,x0021_ ,3624,3915,1239
22,x0022_ ,3604,3731,1180
23,x0023_ ,5313,3027,1530
24,x0024_ ,4497,3263,1420
25,x0025_ ,5340,3215,1598
26,x0026_ ,5916,4066,1799
27,x0027_ ,5351,4035,1640
28,x0028_ ,4497,3068,1480
29,x0029_ ,5293,3546,1892
30,x0030_ ,4894,3407,1429
31,x0031_ ,5255,4660,1410
32,x0032_ ,4715,3614,1401
33,x0033_ ,4824,4322,1732
34,x0034_ ,4166,3617,1262
35,x0035_ ,4994,2986,1336
36,x0036_ ,4162,3084,1400
37,x0037_ ,4275,3789,1666
38,x0038_ ,4743,4209,1779
39,x0039_ ,3828,3922,1430
40,x0040_ ,4607,4515,1609
41,x0041_ ,4191,4055,1484
42,x0042_ ,4696,3801,1514
43,x0043_ ,6369,4587,2247
44,x0044_ ,4678,4076,1686
45,x0045_ ,5939,4100,2207
46,x0046_ ,5184,4379,1913
47,x0047_ ,4835,2920,1836
48,x0048_ ,5131,3861,2034
49,x0049_ ,4813,3688,1939
50,x0050_ ,5398,3740,2037
51,x0051_ ,4339,3063,1778
52,x0052_ ,5568,4023,2190
53,x0053_ ,5179,4400,1746
54,x0054_ ,4975,4347,1853
55,x0055_ ,4054,3152,1572
56,x0056_ ,4366,3279,1671
57,x0057_ ,3947,3665,1568
58,x0058_ ,4780,3905,1900
59,x0059_ ,3901,2596,1129
60,x0060_ ,3987,2408,1231
61,x0061_ ,4931,3431,1508
62,x0062_ ,3957,3858,1365
63,x0063_ ,4718,4640,1668
64,x0064_ ,5763,5840,1763
65,x0065_ ,3534,3819,1425
66,x0066_ ,3809,4878,1466
67,x0067_ ,4495,3593,1642
68,x0068_ ,4140,2998,1508
69,x0069_ ,5121,2950,2225
70,x0070_ ,5903,3976,2524
71,x0071_ ,5065,3084,2004
72,x0072_ ,5681,3036,2458
73,x0073_ ,3950,2476,1575
74,x0074_ ,5733,3065,1787
75,x0075_ ,4143,4251,1336
76,x0076_ ,3644,2634,1348
77,x0077_ ,3258,2917,965
78,x0078_ ,4258,3294,1901
79,x0079_ ,3818,3112,1198
80,x0080_ ,4958,5464,1981
81,x0081_ ,4291,3514,1511
82,x0082_ ,4228,3342,1883
83,x0083_ ,4373,2229,1913
84,x0084_ ,4283,2730,1765
85,x0085_ ,3915,2568,1773
86,x0086_ ,4614,2502,1530
87,x0087_ ,5405,3273,1907
88,x0088_ ,4481,3522,1588
89,x0089_ ,4072,2590,1594
90,x0090_ ,4030,3276,1605
91,x0091_ ,4552,3402,1916
92,x0092_ ,4801,4350,1875
93,x0093_ ,4139,3896,1556
94,x0094_ ,3487,4126,1432
95,x0095_ ,4468,2987,1861
96,x0096_ ,4766,3902,1772
97,x0097_ ,4526,3305,2180
98,x0098_ ,3808,2727,1850
99,x0099_ ,3579,3802,1530
100,x0100_ ,4213,2799,1766
101,x0101_ ,3461,2562,1358
102,x0102_ ,3690,2795,1643
103,x0103_ ,4281,2561,1804
104,x0104_ ,4731,4130,1724
105,x0105_ ,4059,3337,1784
106,x0106_ ,4612,2888,1816
107,x0107_ ,4070,2084,1596
108,x0108_ ,3889,2727,1512
109,x0109_ ,4478,3920,1613
110,x0110_ ,4481,2999,1973
111,x0111_ ,3658,3441,1157
112,x0112_ ,3886,3542,1483
113,x0113_ ,2981,3964,1183
114,x0114_ ,4267,3818,1645
115,x0115_ ,3033,3050,1298
116,x0116_ ,3248,3287,1215
117,x0117_ ,3511,3978,1556
118,x0118_ ,4442,3563,1586
119,x0119_ ,3147,3035,1199
120,x0120_ ,3232,3240,1154
121,x0121_ ,3946,3025,1544
122,x0122_ ,3884,3045,1456
123,x0123_ ,5072,3059,1880
124,x0124_ ,4209,3922,1739
125,x0125_ ,3363,2522,1255
