,protid,P,S,C
216,x0216_X,524,2579,383
217,x0217_X,635,2913,368
218,x0218_X,591,2742,408
219,x0219_X,655,3131,400
220,x0220_X,581,2991,344
221,x0221_X,596,2874,358
222,x0222_X,604,2989,502
223,x0223_X,695,3256,420
224,x0224_X,732,3267,466
225,x0225_X,655,3055,476
226,x0226_X,671,3247,453
227,x0227_X,712,3327,521
228,x0228_X,415,2092,268
229,x0229_X,650,3093,443
230,x0230_X,562,2508,333
231,x0231_X,495,2733,258
232,x0232_X,510,2878,267
233,x0233_X,417,2380,206
234,x0234_X,405,2139,231
235,x0235_X,464,2576,281
236,x0236_X,472,2624,307
237,x0237_X,558,3052,306
238,x0238_X,562,2902,364
239,x0239_X,456,2758,272
240,x0240_X,599,3075,331
241,x0241_X,749,3843,458
242,x0242_X,612,3307,359
243,x0243_X,605,3510,350
244,x0244_X,666,3497,397
245,x0245_X,655,3688,410
246,x0246_X,596,3486,383
247,x0247_X,753,3798,399
248,x0248_X,854,3834,463
249,x0249_X,634,3391,346
250,x0250_X,704,3842,404
251,x0251_X,592,3618,350
252,x0252_X,598,3465,402
253,x0253_X,656,3473,431
254,x0254_X,588,3216,382
255,x0255_X,696,3770,484
256,x0256_X,626,3376,369
257,x0257_X,811,4374,593
258,x0258_X,782,3995,579
259,x0259_X,882,4327,677
260,x0260_X,802,3863,588
261,x0261_X,895,4095,681
262,x0262_X,780,3889,584
263,x0263_X,905,4521,679
264,x0264_X,796,4005,659
265,x0265_X,867,4162,642
266,x0266_X,752,4065,539
267,x0267_X,675,3488,493
268,x0268_X,829,4131,605
269,x0269_X,680,3399,481
270,x0270_X,909,4398,579
271,x0271_X,709,3717,524
272,x0272_X,758,4070,528
273,x0273_X,898,4213,560
274,x0274_X,777,3854,622
275,x0275_X,715,3450,491
276,x0276_X,792,3837,522
277,x0277_X,1023,3933,609
278,x0278_X,869,3578,503
279,x0279_X,985,3907,568
280,x0280_X,888,3616,647
281,x0281_X,955,3516,579
282,x0282_X,955,3446,549
283,x0283_X,951,3654,546
284,x0284_X,904,3692,555
285,x0285_X,832,3495,524
286,x0286_X,997,3860,603
287,x0287_X,1056,4194,636
288,x0288_X,986,3733,741
289,x0289_X,898,3685,670
290,x0290_X,1110,3834,834
291,x0291_X,1131,4500,697
292,x0292_X,962,3588,601
293,x0293_X,1055,4039,684
294,x0294_X,976,3888,701
295,x0295_X,1062,3807,696
296,x0296_X,1223,4335,883
297,x0297_X,991,3706,763
298,x0298_X,1069,3946,763
299,x0299_X,1067,4006,705
300,x0300_X,1193,4579,783
301,x0301_X,1078,3815,778
302,x0302_X,1096,4378,742
303,x0303_X,923,3853,684
304,x0304_X,1064,4075,747
305,x0305_X,1031,3783,646
306,x0306_X,1062,3905,704
307,x0307_X,1147,4189,769
308,x0308_X,973,4059,639
309,x0309_X,1014,3865,686
310,x0310_X,953,3659,641
311,x0311_X,926,3802,628
312,x0312_X,916,3616,619
313,x0313_X,1202,4671,797
314,x0314_X,1082,3885,704
315,x0315_X,1004,3807,649
316,x0316_X,1167,4256,793
317,x0317_X,1041,4052,685
318,x0318_X,1073,4176,637
319,x0319_X,1015,3991,665
320,x0320_X,1174,4504,763
321,x0321_X,1206,4507,728
322,x0322_X,1092,4625,724
323,x0323_X,1163,4638,754
324,x0324_X,1111,4607,723
325,x0325_X,1130,4424,774
326,x0326_X,1202,4543,810
327,x0327_X,1089,4500,627
