,protid,P,S,C
212,x0212_ ,196,471,113
213,x0213_ ,198,382,86
214,x0214_ ,137,265,63
215,x0215_ ,167,251,78
216,x0216_ ,231,270,94
217,x0217_ ,125,252,58
218,x0218_ ,231,387,85
219,x0219_ ,257,350,96
220,x0220_ ,94,198,59
221,x0221_ ,138,233,64
222,x0222_ ,180,203,52
223,x0223_ ,178,231,56
224,x0224_ ,242,321,103
225,x0225_ ,103,173,49
226,x0226_ ,164,239,62
227,x0227_ ,133,323,72
228,x0228_ ,187,252,57
229,x0229_ ,100,279,56
230,x0230_ ,130,151,44
231,x0231_ ,157,350,88
232,x0232_ ,123,267,45
233,x0233_ ,188,256,84
234,x0234_ ,171,233,61
235,x0235_ ,274,350,117
236,x0236_ ,226,261,74
237,x0237_ ,169,345,81
238,x0238_ ,220,288,87
239,x0239_ ,179,217,69
240,x0240_ ,255,256,84
241,x0241_ ,178,283,67
242,x0242_ ,138,186,54
243,x0243_ ,148,245,42
244,x0244_ ,113,114,26
245,x0245_ ,194,184,57
246,x0246_ ,180,217,68
247,x0247_ ,113,170,42
248,x0248_ ,213,319,98
249,x0249_ ,109,207,35
250,x0250_ ,173,265,58
251,x0251_ ,147,248,70
252,x0252_ ,164,276,56
253,x0253_ ,236,337,93
254,x0254_ ,204,270,87
255,x0255_ ,195,360,75
256,x0256_ ,114,225,39
257,x0257_ ,101,309,55
258,x0258_ ,245,373,85
259,x0259_ ,196,349,85
260,x0260_ ,225,399,117
261,x0261_ ,251,402,88
262,x0262_ ,116,183,52
263,x0263_ ,178,340,77
264,x0264_ ,139,264,32
265,x0265_ ,160,245,60
266,x0266_ ,146,158,47
267,x0267_ ,185,275,36
268,x0268_ ,179,230,56
269,x0269_ ,150,297,81
270,x0270_ ,144,230,61
271,x0271_ ,146,227,62
272,x0272_ ,169,201,65
273,x0273_ ,126,281,58
274,x0274_ ,138,395,97
275,x0275_ ,116,260,59
276,x0276_ ,105,256,74
277,x0277_ ,39,160,32
278,x0278_ ,69,275,91
279,x0279_ ,232,350,121
280,x0280_ ,217,367,119
281,x0281_ ,293,354,133
282,x0282_ ,249,361,131
283,x0283_ ,171,308,82
284,x0284_ ,168,332,61
285,x0285_ ,253,368,159
286,x0286_ ,187,318,90
287,x0287_ ,205,320,105
288,x0288_ ,188,147,71
289,x0289_ ,173,273,82
290,x0290_ ,172,302,87
291,x0291_ ,120,276,69
292,x0292_ ,259,381,140
293,x0293_ ,204,356,106
294,x0294_ ,218,358,127
295,x0295_ ,224,297,109
296,x0296_ ,285,436,140
297,x0297_ ,269,399,112
298,x0298_ ,177,243,76
299,x0299_ ,238,278,79
300,x0300_ ,256,318,92
301,x0301_ ,258,228,75
302,x0302_ ,299,384,137
303,x0303_ ,274,387,119
304,x0304_ ,281,364,135
305,x0305_ ,280,373,127
306,x0306_ ,171,251,74
307,x0307_ ,267,330,106
308,x0308_ ,236,393,112
309,x0309_ ,249,337,117
310,x0310_ ,370,432,188
311,x0311_ ,137,252,76
312,x0312_ ,140,226,69
313,x0313_ ,270,382,128
314,x0314_ ,250,353,100
315,x0315_ ,183,349,98
316,x0316_ ,233,372,98
317,x0317_ ,170,366,94
318,x0318_ ,200,356,110
319,x0319_ ,167,317,77
320,x0320_ ,149,301,78
321,x0321_ ,169,242,54
322,x0322_ ,203,313,79
323,x0323_ ,64,211,50
324,x0324_ ,109,230,67
325,x0325_ ,95,311,59
326,x0326_ ,96,315,54
327,x0327_ ,91,302,72
328,x0328_ ,117,304,75
329,x0329_ ,105,275,85
330,x0330_ ,127,376,92
331,x0331_ ,66,260,52
332,x0332_ ,113,353,95
333,x0333_ ,81,300,54
334,x0334_ ,39,263,49
335,x0335_ ,141,339,81
336,x0336_ ,89,320,87
337,x0337_ ,90,225,63
338,x0338_ ,102,303,91
339,x0339_ ,107,230,69
340,x0340_ ,199,346,121
341,x0341_ ,343,335,142
342,x0342_ ,159,433,111
343,x0343_ ,215,304,111
344,x0344_ ,257,447,157
345,x0345_ ,183,361,122
346,x0346_ ,209,439,132
347,x0347_ ,144,347,104
348,x0348_ ,188,395,120
349,x0349_ ,174,410,119
350,x0350_ ,331,371,159
351,x0351_ ,460,411,210
352,x0352_ ,416,367,207
353,x0353_ ,268,280,118
354,x0354_ ,285,419,157
355,x0355_ ,359,474,157
356,x0356_ ,265,414,141
