,protid,P,S,C
0,x0000_ ,2,12,1
1,x0001_ ,0,1,0
2,x0002_ ,0,1,0
3,x0003_ ,0,3,0
4,x0004_ ,0,10,0
5,x0005_ ,1,8,1
6,x0006_ ,1,4,1
7,x0007_ ,0,4,2
8,x0008_ ,0,9,1
9,x0009_ ,3,7,0
10,x0010_ ,0,2,1
11,x0011_ ,0,3,0
12,x0012_ ,6,21,1
13,x0013_ ,57,61,2
14,x0014_ ,77,125,8
15,x0015_ ,78,76,17
16,x0016_ ,22,33,0
17,x0017_ ,100,103,7
18,x0018_ ,41,62,2
19,x0019_ ,1,18,2
20,x0020_ ,0,5,1
21,x0021_ ,0,18,3
22,x0022_ ,2,18,1
23,x0023_ ,6,56,4
24,x0024_ ,52,117,21
25,x0025_ ,54,185,37
26,x0026_ ,95,184,21
27,x0027_ ,37,71,12
28,x0028_ ,79,79,13
29,x0029_ ,187,66,23
30,x0030_ ,271,352,43
31,x0031_ ,183,253,60
32,x0032_ ,98,182,45
33,x0033_ ,82,103,25
34,x0034_ ,133,98,22
35,x0035_ ,82,155,16
36,x0036_ ,91,101,18
37,x0037_ ,141,168,16
38,x0038_ ,337,416,150
39,x0039_ ,250,269,261
40,x0040_ ,191,249,190
41,x0041_ ,197,204,127
42,x0042_ ,222,354,285
43,x0043_ ,166,287,213
44,x0044_ ,273,404,313
45,x0045_ ,317,259,327
46,x0046_ ,365,353,228
47,x0047_ ,336,454,291
48,x0048_ ,238,386,156
49,x0049_ ,280,386,195
50,x0050_ ,313,299,208
51,x0051_ ,287,370,123
52,x0052_ ,254,490,202
53,x0053_ ,329,522,230
54,x0054_ ,349,520,259
55,x0055_ ,333,451,251
56,x0056_ ,390,465,226
57,x0057_ ,254,308,179
58,x0058_ ,288,569,224
59,x0059_ ,248,306,187
60,x0060_ ,367,382,286
61,x0061_ ,438,416,274
62,x0062_ ,320,594,262
63,x0063_ ,284,265,231
64,x0064_ ,535,760,301
65,x0065_ ,476,266,339
66,x0066_ ,335,228,257
67,x0067_ ,377,338,275
68,x0068_ ,210,457,153
69,x0069_ ,260,724,241
70,x0070_ ,431,329,275
71,x0071_ ,291,366,289
72,x0072_ ,520,711,422
73,x0073_ ,372,402,261
74,x0074_ ,289,160,112
75,x0075_ ,204,321,141
76,x0076_ ,209,244,177
77,x0077_ ,398,429,301
78,x0078_ ,273,307,200
79,x0079_ ,226,225,179
80,x0080_ ,322,511,295
81,x0081_ ,382,279,329
82,x0082_ ,468,745,440
83,x0083_ ,467,355,354
84,x0084_ ,350,681,347
85,x0085_ ,512,532,387
86,x0086_ ,346,493,289
87,x0087_ ,471,614,241
88,x0088_ ,506,676,358
89,x0089_ ,454,588,233
90,x0090_ ,306,257,178
91,x0091_ ,458,520,247
92,x0092_ ,332,437,266
93,x0093_ ,141,347,107
94,x0094_ ,226,581,228
95,x0095_ ,198,275,268
96,x0096_ ,292,455,199
97,x0097_ ,147,334,149
98,x0098_ ,232,671,178
99,x0099_ ,126,413,91
100,x0100_ ,250,416,154
101,x0101_ ,141,277,143
102,x0102_ ,190,496,217
103,x0103_ ,194,293,179
104,x0104_ ,260,375,185
105,x0105_ ,92,271,133
106,x0106_ ,151,144,170
107,x0107_ ,114,219,163
108,x0108_ ,83,177,146
109,x0109_ ,144,360,199
110,x0110_ ,173,518,212
111,x0111_ ,184,263,294
112,x0112_ ,229,331,260
113,x0113_ ,208,383,189
114,x0114_ ,175,195,158
115,x0115_ ,176,276,214
116,x0116_ ,306,414,456
117,x0117_ ,108,206,92
118,x0118_ ,168,283,215
119,x0119_ ,232,366,263
120,x0120_ ,255,439,341
121,x0121_ ,313,395,420
122,x0122_ ,354,517,404
123,x0123_ ,353,468,505
124,x0124_ ,260,360,415
125,x0125_ ,274,341,375
126,x0126_ ,278,505,393
127,x0127_ ,345,463,417
128,x0128_ ,181,272,177
129,x0129_ ,242,446,258
130,x0130_ ,231,512,385
131,x0131_ ,284,272,305
132,x0132_ ,208,453,200
133,x0133_ ,176,388,177
134,x0134_ ,283,319,344
135,x0135_ ,274,369,392
136,x0136_ ,326,429,373
137,x0137_ ,285,662,328
138,x0138_ ,312,410,454
139,x0139_ ,345,539,391
140,x0140_ ,235,400,311
141,x0141_ ,268,421,392
142,x0142_ ,247,412,331
143,x0143_ ,296,563,366
144,x0144_ ,209,395,342
145,x0145_ ,177,374,310
