,protid,P,S,C
184,x0184_ ,4959,1364,1805
185,x0185_ ,3835,655,1396
186,x0186_ ,3496,1294,1315
187,x0187_ ,3736,1392,977
188,x0188_ ,4181,1610,1230
189,x0189_ ,3053,1046,1257
190,x0190_ ,4073,1241,1241
191,x0191_ ,3694,1586,1048
192,x0192_ ,3074,1147,1135
193,x0193_ ,3262,945,1149
194,x0194_ ,3839,1617,1330
195,x0195_ ,4002,1147,1179
196,x0196_ ,3925,746,1107
197,x0197_ ,4221,756,1351
198,x0198_ ,3957,981,1390
199,x0199_ ,3455,722,1283
200,x0200_ ,4535,977,1158
201,x0201_ ,3634,729,1632
202,x0202_ ,4636,975,1892
203,x0203_ ,4623,551,1496
204,x0204_ ,3890,1087,1464
205,x0205_ ,3638,1190,1613
206,x0206_ ,4206,1083,1614
207,x0207_ ,3414,534,1305
208,x0208_ ,3132,516,1302
209,x0209_ ,3417,840,1414
210,x0210_ ,3996,998,1447
211,x0211_ ,3259,740,1672
212,x0212_ ,2789,856,1206
213,x0213_ ,3048,764,1441
214,x0214_ ,3855,983,1267
215,x0215_ ,3263,990,1103
216,x0216_ ,4222,1229,1570
217,x0217_ ,4381,1240,1760
218,x0218_ ,4991,1332,1427
219,x0219_ ,5080,1353,1568
220,x0220_ ,5175,1222,1478
221,x0221_ ,5199,1151,1525
222,x0222_ ,4209,1103,1016
223,x0223_ ,4411,972,2243
224,x0224_ ,4375,1109,1776
225,x0225_ ,4125,903,1758
226,x0226_ ,3942,1282,1916
227,x0227_ ,5297,1199,3234
228,x0228_ ,4888,1403,2094
229,x0229_ ,5145,1229,2404
230,x0230_ ,4098,1229,1459
231,x0231_ ,4119,1138,1529
232,x0232_ ,5190,1032,1906
233,x0233_ ,5179,1416,1790
234,x0234_ ,5076,1432,1877
235,x0235_ ,4586,1220,1454
236,x0236_ ,3556,788,1651
237,x0237_ ,5031,1731,2283
238,x0238_ ,5097,1237,1667
239,x0239_ ,4245,1186,1950
240,x0240_ ,4642,1406,1578
241,x0241_ ,4894,1573,2048
242,x0242_ ,3855,920,1441
243,x0243_ ,4637,1104,1640
244,x0244_ ,4667,1326,1388
245,x0245_ ,3802,1252,1162
246,x0246_ ,3924,681,1390
247,x0247_ ,3206,1065,982
248,x0248_ ,3117,415,933
249,x0249_ ,3808,857,1221
250,x0250_ ,3864,965,949
251,x0251_ ,4258,895,1402
252,x0252_ ,4450,1015,1438
253,x0253_ ,5312,1543,1530
254,x0254_ ,4093,999,1236
255,x0255_ ,5017,1047,1686
256,x0256_ ,4943,1530,1783
257,x0257_ ,3516,970,1079
258,x0258_ ,4161,1137,1605
259,x0259_ ,3611,934,1233
260,x0260_ ,4417,1475,1611
261,x0261_ ,4344,1528,1754
262,x0262_ ,3587,897,1511
263,x0263_ ,3156,810,885
264,x0264_ ,4496,1549,1215
265,x0265_ ,3371,967,1122
266,x0266_ ,4181,1204,1401
267,x0267_ ,4336,1217,1828
268,x0268_ ,4810,1319,1497
269,x0269_ ,3764,881,1460
270,x0270_ ,4553,1215,1372
271,x0271_ ,4320,1191,1392
272,x0272_ ,3066,895,1190
273,x0273_ ,3706,897,1613
274,x0274_ ,4458,1515,2028
275,x0275_ ,4072,1173,1541
276,x0276_ ,3811,976,1999
277,x0277_ ,3988,1305,1967
278,x0278_ ,4136,1472,2142
279,x0279_ ,3421,1206,1701
280,x0280_ ,4251,1344,2155
281,x0281_ ,4625,1499,2261
282,x0282_ ,4585,1361,2055
283,x0283_ ,4144,1334,1662
284,x0284_ ,5254,1308,2349
285,x0285_ ,3523,1121,1684
286,x0286_ ,3487,1230,1838
287,x0287_ ,4675,1434,2019
288,x0288_ ,4306,1377,1698
289,x0289_ ,3886,1183,1259
290,x0290_ ,3697,1261,1945
291,x0291_ ,3549,903,1653
292,x0292_ ,3188,855,1007
293,x0293_ ,4464,997,1560
294,x0294_ ,4053,1125,1492
295,x0295_ ,4200,826,1415
296,x0296_ ,3411,841,1419
297,x0297_ ,3538,896,1452
298,x0298_ ,3626,759,1720
299,x0299_ ,3679,889,1427
300,x0300_ ,3488,805,1378
301,x0301_ ,3935,1126,1267
302,x0302_ ,4107,969,1479
303,x0303_ ,4251,948,1587
304,x0304_ ,4402,810,1458
305,x0305_ ,4834,1160,1881
306,x0306_ ,4126,1264,1631
307,x0307_ ,4460,1065,2101
308,x0308_ ,3626,1147,1113
309,x0309_ ,4005,1566,1810
310,x0310_ ,3870,647,1588
311,x0311_ ,4771,1056,1433
312,x0312_ ,4968,1570,1463
313,x0313_ ,5016,1573,1412
314,x0314_ ,4475,1247,1181
315,x0315_ ,4471,856,1459
316,x0316_ ,4407,1067,1196
317,x0317_ ,5027,1220,1379
318,x0318_ ,4884,1409,1582
319,x0319_ ,3085,743,1023
320,x0320_ ,3755,988,1473
321,x0321_ ,4105,1149,1301
322,x0322_ ,3582,742,1454
323,x0323_ ,2969,952,1129
324,x0324_ ,3258,887,1420
325,x0325_ ,3671,1470,1529
326,x0326_ ,3651,1228,1337
