,protid,P,S,C
0,x0000_X,9,173,8
1,x0001_X,71,573,22
2,x0002_X,121,806,63
3,x0003_X,72,779,52
4,x0004_X,149,1037,89
5,x0005_X,107,789,50
6,x0006_X,194,1141,96
7,x0007_X,188,1271,137
8,x0008_X,147,1113,118
9,x0009_X,178,970,127
10,x0010_X,201,1259,136
11,x0011_X,157,1177,97
12,x0012_X,197,1328,128
13,x0013_X,212,1220,164
14,x0014_X,275,1380,175
15,x0015_X,223,1331,157
16,x0016_X,224,1225,147
17,x0017_X,205,1145,135
18,x0018_X,280,1469,204
19,x0019_X,293,1556,231
20,x0020_X,320,1822,204
21,x0021_X,278,1541,197
22,x0022_X,307,1800,239
23,x0023_X,344,1764,238
24,x0024_X,323,1884,208
25,x0025_X,319,1731,228
26,x0026_X,323,1704,251
27,x0027_X,277,1661,207
28,x0028_X,332,1796,218
29,x0029_X,296,1898,221
30,x0030_X,274,1725,212
31,x0031_X,310,1700,201
32,x0032_X,307,1805,234
33,x0033_X,284,1857,205
34,x0034_X,305,1779,194
35,x0035_X,336,1941,208
36,x0036_X,343,1963,250
37,x0037_X,329,1853,233
38,x0038_X,319,1910,256
39,x0039_X,322,1842,251
40,x0040_X,314,1704,260
41,x0041_X,295,1684,232
42,x0042_X,334,1830,251
43,x0043_X,466,2074,310
44,x0044_X,381,1979,268
45,x0045_X,389,1694,263
46,x0046_X,325,1885,275
47,x0047_X,430,2055,290
48,x0048_X,388,1815,282
49,x0049_X,473,1669,273
50,x0050_X,520,2032,298
51,x0051_X,536,2097,293
52,x0052_X,521,1902,278
53,x0053_X,602,2246,312
54,x0054_X,583,1782,263
55,x0055_X,589,1953,308
56,x0056_X,565,1982,303
57,x0057_X,549,2098,279
58,x0058_X,505,1947,249
59,x0059_X,517,1914,270
60,x0060_X,517,2226,260
61,x0061_X,516,2208,279
62,x0062_X,537,2337,286
63,x0063_X,571,2315,274
64,x0064_X,571,2448,302
65,x0065_X,598,2593,295
66,x0066_X,629,2553,304
67,x0067_X,592,2403,245
68,x0068_X,605,2208,268
69,x0069_X,643,2542,301
70,x0070_X,669,3035,301
71,x0071_X,679,2842,307
72,x0072_X,615,2599,272
73,x0073_X,693,2798,337
74,x0074_X,674,2583,313
75,x0075_X,650,2792,299
76,x0076_X,601,2850,290
77,x0077_X,633,2549,304
78,x0078_X,593,2506,304
79,x0079_X,624,2564,298
80,x0080_X,613,2523,267
81,x0081_X,537,2478,306
82,x0082_X,642,2686,327
83,x0083_X,631,2800,310
84,x0084_X,788,3205,378
85,x0085_X,782,3074,422
86,x0086_X,702,2794,332
87,x0087_X,699,2868,349
88,x0088_X,735,2894,376
89,x0089_X,642,2869,317
90,x0090_X,706,3191,381
91,x0091_X,799,3353,408
92,x0092_X,676,3161,349
93,x0093_X,749,3332,384
94,x0094_X,748,3272,351
